energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
50064,20000,20000,0.41288191577208977,0,74.45761169845402,1688347350.854
50064,20000,20000,0.41288191577208977,0,74.45761169845402,1688347350.854
50056,20000,19992,1.2417218543046338,0,74.45323131684233,1688347351.857
50056,20000,19992,1.2417218543046338,0,74.45323131684233,1688347351.857
50056,20000,19992,0.4132231404958664,0,74.457317970241,1688347352.86
50056,20000,19992,0.4132231404958664,0,74.457317970241,1688347352.86
50056,20000,19992,0.4132231404958664,0,74.457317970241,1688347353.864
50056,20000,19992,0.4132231404958664,0,74.457317970241,1688347353.864
50064,20000,20000,0.3308519437551727,0,74.45475104107496,1688347354.867
50064,20000,20000,0.3308519437551727,0,74.45475104107496,1688347354.867
50064,20000,20000,0.5785123966942196,0,74.4540741891058,1688347355.871
50064,20000,20000,0.5785123966942196,0,74.4540741891058,1688347355.871
50064,20000,20000,0.5785123966942196,0,74.4540741891058,1688347356.874
50064,20000,20000,0.5785123966942196,0,74.4540741891058,1688347356.874
50064,20000,20000,0.24855012427505985,0,74.45578547521649,1688347357.878
50064,20000,20000,0.24855012427505985,0,74.45578547521649,1688347357.878
50064,20000,20000,0.24855012427505985,0,74.45578547521649,1688347358.881
50064,20000,20000,0.24855012427505985,0,74.45578547521649,1688347358.881
50056,20000,19992,1.4003294892915963,0,74.46240074540557,1688347359.885
50056,20000,19992,1.4003294892915963,0,74.46240074540557,1688347359.885
50064,20000,20000,0.41288191577208977,0,74.46485273744477,1688347360.888
50064,20000,20000,0.41288191577208977,0,74.46485273744477,1688347360.888
50064,20000,20000,0.41288191577208977,0,74.46485273744477,1688347361.892
50064,20000,20000,0.41288191577208977,0,74.46485273744477,1688347361.892
50064,20000,20000,0.7425742574257432,0,74.46040850187373,1688347362.896
50064,20000,20000,0.7425742574257432,0,74.46040850187373,1688347362.896
50064,20000,20000,4.228855721393032,0,74.40494495277872,1688347363.899
50064,20000,20000,4.228855721393032,0,74.40494495277872,1688347363.899
50064,20000,20000,4.228855721393032,0,74.40494495277872,1688347364.902
50064,20000,20000,4.228855721393032,0,74.40494495277872,1688347364.902
50056,20000,19992,10.041493775933608,0,74.30812957960596,1688347365.906
50056,20000,19992,10.041493775933608,0,74.30812957960596,1688347365.906
50056,20000,19992,8.312757201646093,0,74.16316832108019,1688347366.91
50056,20000,19992,8.312757201646093,0,74.16316832108019,1688347366.91
50056,20000,19992,8.312757201646093,0,74.16316832108019,1688347367.913
50056,20000,19992,8.312757201646093,0,74.16316832108019,1688347367.913
50064,20000,20000,0.2483443708609312,0,74.16775303536181,1688347368.915
50064,20000,20000,0.2483443708609312,0,74.16775303536181,1688347368.915
50064,20000,20000,0.4125412541254092,0,74.16438154630791,1688347369.919
50064,20000,20000,0.4125412541254092,0,74.16438154630791,1688347369.919
50064,20000,20000,0.4125412541254092,0,74.16438154630791,1688347370.922
50064,20000,20000,0.4125412541254092,0,74.16438154630791,1688347370.922
50064,20000,20000,0.4950495049504955,0,74.16274688494845,1688347371.925
50064,20000,20000,0.4950495049504955,0,74.16274688494845,1688347371.925
50064,20000,20000,0.8264462809917328,0,74.16878746950334,1688347372.929
50064,20000,20000,0.8264462809917328,0,74.16878746950334,1688347372.929
50064,20000,20000,0.8264462809917328,0,74.16878746950334,1688347373.932
50064,20000,20000,0.8264462809917328,0,74.16878746950334,1688347373.932
50064,20000,20000,0.658978583196046,0,74.16444540026727,1688347374.936
50064,20000,20000,0.658978583196046,0,74.16444540026727,1688347374.936
50064,20000,20000,0.658978583196046,0,74.16444540026727,1688347375.94
50064,20000,20000,0.658978583196046,0,74.16444540026727,1688347375.94
50056,20000,19992,0.4132231404958664,0,74.16383240225747,1688347376.943
50056,20000,19992,0.4132231404958664,0,74.16383240225747,1688347376.943
50064,20000,20000,0.24855012427505985,0,74.16682076755524,1688347377.947
50064,20000,20000,0.24855012427505985,0,74.16682076755524,1688347377.947
50064,20000,20000,0.24855012427505985,0,74.16682076755524,1688347378.951
50064,20000,20000,0.24855012427505985,0,74.16682076755524,1688347378.951
50064,20000,20000,0.660066006600657,0,74.16558200074377,1688347379.955
50064,20000,20000,0.660066006600657,0,74.16558200074377,1688347379.955
50064,20000,20000,0.7419620774938185,0,74.16545429282506,1688347380.959
50064,20000,20000,0.7419620774938185,0,74.16545429282506,1688347380.959
50064,20000,20000,0.7419620774938185,0,74.16545429282506,1688347381.963
50064,20000,20000,0.7419620774938185,0,74.16545429282506,1688347381.963
50064,20000,20000,0.49545829892650994,0,74.1593115419352,1688347382.966
50064,20000,20000,0.49545829892650994,0,74.1593115419352,1688347382.966
50064,20000,20000,0.6595218466611708,0,74.16334711216638,1688347383.97
50064,20000,20000,0.6595218466611708,0,74.16334711216638,1688347383.97
50064,20000,20000,0.3311258278145712,0,74.16615668637796,1688347384.974
50064,20000,20000,0.3311258278145712,0,74.16615668637796,1688347384.974
50064,20000,20000,0.3311258278145712,0,74.16615668637796,1688347385.977
50064,20000,20000,0.3311258278145712,0,74.16615668637796,1688347385.977
50064,20000,20000,98.8391376451078,0,73.6527836239625,1688347386.98
50064,20000,20000,98.8391376451078,0,73.6527836239625,1688347386.98
50048,19992,19992,99.58437240232752,0,72.7401189829137,1688347387.984
50048,19992,19992,99.58437240232752,0,72.7401189829137,1688347387.984
50048,19992,19992,99.42100909842844,0,71.83756880902659,1688347388.987
50048,19992,19992,99.42100909842844,0,71.83756880902659,1688347388.987
50048,19992,19992,99.42100909842844,0,71.83756880902659,1688347389.991
50048,19992,19992,99.42100909842844,0,71.83756880902659,1688347389.991
50048,19992,19992,100,0,71.18904245624216,1688347390.994
50048,19992,19992,100,0,71.18904245624216,1688347390.994
50048,19992,19992,100,0,70.48336680983576,1688347391.997
50048,19992,19992,100,0,70.48336680983576,1688347391.997
50048,19992,19992,100,0,70.48336680983576,1688347393
50048,19992,19992,100,0,70.48336680983576,1688347393
50048,19992,19992,99.66804979253112,0,70.49970065263855,1688347394.004
50048,19992,19992,99.66804979253112,0,70.49970065263855,1688347394.004
50048,19992,19992,56.73876871880199,0,69.95532010756071,1688347395.008
50048,19992,19992,56.73876871880199,0,69.95532010756071,1688347395.008
50064,20000,20000,8.540630182421227,0,69.91788891658732,1688347396.012
50064,20000,20000,8.540630182421227,0,69.91788891658732,1688347396.012
50064,20000,20000,8.540630182421227,0,69.91788891658732,1688347397.016
50064,20000,20000,8.540630182421227,0,69.91788891658732,1688347397.016
50056,20000,19992,8.616404308202153,0,69.89089146257238,1688347398.02
50056,20000,19992,8.616404308202153,0,69.89089146257238,1688347398.02
50056,20000,19992,8.609271523178808,0,69.78209708662479,1688347399.024
50056,20000,19992,8.609271523178808,0,69.78209708662479,1688347399.024
50056,20000,19992,8.609271523178808,0,69.78209708662479,1688347400.028
50056,20000,19992,8.609271523178808,0,69.78209708662479,1688347400.028
50056,20000,19992,7.864238410596025,0,69.6572370545037,1688347401.032
50056,20000,19992,7.864238410596025,0,69.6572370545037,1688347401.032
50056,20000,19992,8.381742738589216,0,69.64800377198108,1688347402.036
50056,20000,19992,8.381742738589216,0,69.64800377198108,1688347402.036
50056,20000,19992,8.457711442786064,0,69.5274730383042,1688347403.04
50056,20000,19992,8.457711442786064,0,69.5274730383042,1688347403.04
50056,20000,19992,8.457711442786064,0,69.5274730383042,1688347404.044
50056,20000,19992,8.457711442786064,0,69.5274730383042,1688347404.044
50064,20000,20000,8.533554266777132,0,69.51509814098137,1688347405.048
50064,20000,20000,8.533554266777132,0,69.51509814098137,1688347405.048
50064,20000,20000,8.105872622001653,0,69.50618412825553,1688347406.052
50064,20000,20000,8.105872622001653,0,69.50618412825553,1688347406.052
50064,20000,20000,8.533554266777132,0,69.51158617321688,1688347407.056
50064,20000,20000,8.533554266777132,0,69.51158617321688,1688347407.056
50064,20000,20000,8.533554266777132,0,69.51158617321688,1688347408.059
50064,20000,20000,8.533554266777132,0,69.51158617321688,1688347408.059
50064,20000,20000,8.616404308202153,0,69.50474102877413,1688347409.062
50064,20000,20000,8.616404308202153,0,69.50474102877413,1688347409.062
50064,20000,20000,8.526490066225168,0,69.49158711314716,1688347410.066
50064,20000,20000,8.526490066225168,0,69.49158711314716,1688347410.066
50064,20000,20000,8.526490066225168,0,69.49158711314716,1688347411.069
50064,20000,20000,8.526490066225168,0,69.49158711314716,1688347411.069
50064,20000,20000,8.457711442786064,0,69.20997838160352,1688347412.072
50064,20000,20000,8.457711442786064,0,69.20997838160352,1688347412.072
50056,20000,19992,8.533554266777132,0,69.1106982455997,1688347413.076
50056,20000,19992,8.533554266777132,0,69.1106982455997,1688347413.076
50064,20000,20000,7.717842323651447,0,69.09307455281795,1688347414.079
50064,20000,20000,7.717842323651447,0,69.09307455281795,1688347414.079
50064,20000,20000,7.717842323651447,0,69.09307455281795,1688347415.083
50064,20000,20000,7.717842323651447,0,69.09307455281795,1688347415.083
50056,20000,19992,8.70646766169154,0,69.09912790816473,1688347416.087
50056,20000,19992,8.70646766169154,0,69.09912790816473,1688347416.087
50056,20000,19992,8.533554266777132,0,69.04105911752806,1688347417.091
50056,20000,19992,8.533554266777132,0,69.04105911752806,1688347417.091
50056,20000,19992,8.533554266777132,0,69.04105911752806,1688347418.093
50056,20000,19992,8.533554266777132,0,69.04105911752806,1688347418.093
50056,20000,19992,8.464730290456435,0,69.0090427423079,1688347419.096
50056,20000,19992,8.464730290456435,0,69.0090427423079,1688347419.096
50056,20000,19992,7.698675496688745,0,68.91358107307344,1688347420.099
50056,20000,19992,7.698675496688745,0,68.91358107307344,1688347420.099
50056,20000,19992,8.692052980132448,0,68.68749974458416,1688347421.103
50056,20000,19992,8.692052980132448,0,68.68749974458416,1688347421.103
50056,20000,19992,8.692052980132448,0,68.68749974458416,1688347422.106
50056,20000,19992,8.692052980132448,0,68.68749974458416,1688347422.106
50064,20000,20000,8.450704225352112,0,68.65605805499818,1688347423.109
50064,20000,20000,8.450704225352112,0,68.65605805499818,1688347423.109
50064,20000,20000,8.62354892205639,0,68.65410412384195,1688347424.112
50064,20000,20000,8.62354892205639,0,68.65410412384195,1688347424.112
50048,19992,19992,8.864954432477212,0,68.78504305289356,1688347425.116
50048,19992,19992,8.864954432477212,0,68.78504305289356,1688347425.116
50048,19992,19992,8.864954432477212,0,68.78504305289356,1688347426.118
50048,19992,19992,8.864954432477212,0,68.78504305289356,1688347426.118
50056,20000,19992,8.526490066225168,0,68.78732902463844,1688347427.122
50056,20000,19992,8.526490066225168,0,68.78732902463844,1688347427.122
50056,20000,19992,8.602150537634412,0,68.63130826035253,1688347428.126
50056,20000,19992,8.602150537634412,0,68.63130826035253,1688347428.126
50056,20000,19992,8.602150537634412,0,68.63130826035253,1688347429.129
50056,20000,19992,8.602150537634412,0,68.63130826035253,1688347429.129
50056,20000,19992,8.609271523178808,0,68.62146197982011,1688347430.133
50056,20000,19992,8.609271523178808,0,68.62146197982011,1688347430.133
50056,20000,19992,8.609271523178808,0,68.60106702520238,1688347431.136
50056,20000,19992,8.609271523178808,0,68.60106702520238,1688347431.136
50064,20000,20000,8.609271523178808,0,68.60362118357656,1688347432.14
50064,20000,20000,8.609271523178808,0,68.60362118357656,1688347432.14
50064,20000,20000,8.609271523178808,0,68.60362118357656,1688347433.144
50064,20000,20000,8.609271523178808,0,68.60362118357656,1688347433.144
50056,20000,19992,8.609271523178808,0,68.60551126077344,1688347434.147
50056,20000,19992,8.609271523178808,0,68.60551126077344,1688347434.147
50056,20000,19992,8.602150537634412,0,68.59999427868524,1688347435.149
50056,20000,19992,8.602150537634412,0,68.59999427868524,1688347435.149
50056,20000,19992,8.602150537634412,0,68.59999427868524,1688347436.152
50056,20000,19992,8.602150537634412,0,68.59999427868524,1688347436.152
50056,20000,19992,7.615894039735094,0,68.41868734649508,1688347437.156
50056,20000,19992,7.615894039735094,0,68.41868734649508,1688347437.156
50064,20000,19992,8.533554266777132,0,68.13908362927515,1688347438.159
50064,20000,19992,8.533554266777132,0,68.13908362927515,1688347438.159
50064,20000,19992,6.456953642384111,56.4,66.04601469560562,1688347439.163
50064,20000,19992,6.456953642384111,56.4,66.04601469560562,1688347439.163
50064,20000,19992,6.456953642384111,56.4,66.04601469560562,1688347440.167
50064,20000,19992,6.456953642384111,56.4,66.04601469560562,1688347440.167
50056,20000,19992,5.955334987593053,45.2,64.76931863227884,1688347441.17
50056,20000,19992,5.955334987593053,45.2,64.76931863227884,1688347441.17
50056,20000,19992,8.056478405315614,42.6,64.76488716749967,1688347442.174
50056,20000,19992,8.056478405315614,42.6,64.76488716749967,1688347442.174
50056,20000,19992,8.056478405315614,42.6,64.76488716749967,1688347443.177
50056,20000,19992,8.056478405315614,42.6,64.76488716749967,1688347443.177
50056,20000,19992,8.616404308202153,39.9,64.76389104573373,1688347444.18
50056,20000,19992,8.616404308202153,39.9,64.76389104573373,1688347444.18
50056,20000,19992,8.512396694214875,38.7,64.76847576001536,1688347445.184
50056,20000,19992,8.512396694214875,38.7,64.76847576001536,1688347445.184
50048,19992,19992,8.049792531120337,37.4,64.76174555269944,1688347446.187
50048,19992,19992,8.049792531120337,37.4,64.76174555269944,1688347446.187
50048,19992,19992,8.049792531120337,37.4,64.76174555269944,1688347447.19
50048,19992,19992,8.049792531120337,37.4,64.76174555269944,1688347447.19
50048,19992,19992,8.609271523178808,24.5,64.76106870073028,1688347448.194
50048,19992,19992,8.609271523178808,24.5,64.76106870073028,1688347448.194
50048,19992,19992,8.222591362126241,38.9,64.76622810064609,1688347449.197
50048,19992,19992,8.222591362126241,38.9,64.76622810064609,1688347449.197
50056,20000,19992,8.92561983471074,34.2,64.76367394227194,1688347450.2
50056,20000,19992,8.92561983471074,34.2,64.76367394227194,1688347450.2
50056,20000,19992,8.92561983471074,34.2,64.76367394227194,1688347451.204
50056,20000,19992,8.92561983471074,34.2,64.76367394227194,1688347451.204
50056,20000,19992,8.659450457951712,26.2,64.77013596295858,1688347452.208
50056,20000,19992,8.659450457951712,26.2,64.77013596295858,1688347452.208
50056,20000,19992,7.807308970099669,56.4,64.76512981254521,1688347453.212
50056,20000,19992,7.807308970099669,56.4,64.76512981254521,1688347453.212
50056,20000,19992,7.807308970099669,56.4,64.76512981254521,1688347454.215
50056,20000,19992,7.807308970099669,56.4,64.76512981254521,1688347454.215
50056,20000,19992,8.374792703150913,48.5,64.76293323634343,1688347455.219
50056,20000,19992,8.374792703150913,48.5,64.76293323634343,1688347455.219
50056,20000,19992,8.14630091438071,35.3,64.76002149579688,1688347456.222
50056,20000,19992,8.14630091438071,35.3,64.76002149579688,1688347456.222
50048,19992,19992,8.616404308202153,44.8,64.76377610860689,1688347457.226
50048,19992,19992,8.616404308202153,44.8,64.76377610860689,1688347457.226
50048,19992,19992,8.616404308202153,44.8,64.76377610860689,1688347458.23
50048,19992,19992,8.616404308202153,44.8,64.76377610860689,1688347458.23
50056,20000,19992,8.684863523573206,44,64.76445296057605,1688347459.233
50056,20000,19992,8.684863523573206,44,64.76445296057605,1688347459.233
50048,19992,19992,8.354011579818032,34.2,64.75945958095456,1688347460.237
50048,19992,19992,8.354011579818032,34.2,64.75945958095456,1688347460.237
50048,19992,19992,8.354011579818032,34.2,64.75945958095456,1688347461.241
50048,19992,19992,8.354011579818032,34.2,64.75945958095456,1688347461.241
50048,19992,19992,8.684863523573206,37.1,64.76414646157116,1688347462.245
50048,19992,19992,8.684863523573206,37.1,64.76414646157116,1688347462.245
50056,20000,19992,8.39567747298421,31.9,64.76607485114366,1688347463.249
50056,20000,19992,8.39567747298421,31.9,64.76607485114366,1688347463.249
50048,19992,19992,7.737104825291185,43.7,64.7603152240099,1688347464.252
50048,19992,19992,7.737104825291185,43.7,64.7603152240099,1688347464.252
50048,19992,19992,7.737104825291185,43.7,64.7603152240099,1688347465.256
50048,19992,19992,7.737104825291185,43.7,64.7603152240099,1688347465.256
50056,20000,19992,7.807308970099669,44,64.75989378787817,1688347466.259
50056,20000,19992,7.807308970099669,44,64.75989378787817,1688347466.259
50056,20000,19992,8.367854183927093,47.6,64.76151567844578,1688347467.263
50056,20000,19992,8.367854183927093,47.6,64.76151567844578,1688347467.263
50056,20000,19992,8.367854183927093,47.6,64.76151567844578,1688347468.267
50056,20000,19992,8.367854183927093,47.6,64.76151567844578,1688347468.267
50056,20000,19992,7.993338884263112,34.5,64.76468283482973,1688347469.27
50056,20000,19992,7.993338884263112,34.5,64.76468283482973,1688347469.27
50056,20000,19992,8.049792531120337,34.1,64.76210313487182,1688347470.273
50056,20000,19992,8.049792531120337,34.1,64.76210313487182,1688347470.273
50048,19992,19992,8.22942643391521,31.3,64.76034076559365,1688347471.276
50048,19992,19992,8.22942643391521,31.3,64.76034076559365,1688347471.276
50048,19992,19992,8.22942643391521,31.3,64.76034076559365,1688347472.28
50048,19992,19992,8.22942643391521,31.3,64.76034076559365,1688347472.28
50056,20000,19992,8.222591362126241,28.9,64.76967621445122,1688347473.285
50056,20000,19992,8.222591362126241,28.9,64.76967621445122,1688347473.285
50064,20000,20000,7.685881370091896,37.1,64.76860346793407,1688347474.289
50064,20000,20000,7.685881370091896,37.1,64.76860346793407,1688347474.289
50056,20000,19992,8.699254349627171,45.9,64.7670582021177,1688347475.292
50056,20000,19992,8.699254349627171,45.9,64.7670582021177,1688347475.292
50056,20000,19992,8.699254349627171,45.9,64.7670582021177,1688347476.296
50056,20000,19992,8.699254349627171,45.9,64.7670582021177,1688347476.296
50048,19992,19992,8.828382838283833,39.5,64.7622436135824,1688347477.3
50048,19992,19992,8.828382838283833,39.5,64.7622436135824,1688347477.3
50048,19992,19992,8.215767634854776,46,64.75714806762593,1688347478.303
50048,19992,19992,8.215767634854776,46,64.75714806762593,1688347478.303
50048,19992,19992,8.215767634854776,46,64.75714806762593,1688347479.307
50048,19992,19992,8.215767634854776,46,64.75714806762593,1688347479.307
50048,19992,19992,8.285004142502073,42.7,64.75924247749275,1688347480.31
50048,19992,19992,8.285004142502073,42.7,64.75924247749275,1688347480.31
50056,20000,19992,8.498349834983498,38,64.76129857498395,1688347481.314
50056,20000,19992,8.498349834983498,38,64.76129857498395,1688347481.314
