energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2746,979,117,0.7462686567164201,0,64.23300622613954,1690086573.665
2746,979,117,0.7462686567164201,0,64.23300622613954,1690086573.665
2746,979,117,0.7481296758104716,0,64.23872189712975,1690086574.666
2746,979,117,0.7481296758104716,0,64.23872189712975,1690086574.666
2746,979,117,0.7481296758104716,0,64.23872189712975,1690086575.669
2746,979,117,0.7481296758104716,0,64.23872189712975,1690086575.669
2741,979,117,0.995024875621886,0,64.24709831151195,1690086576.672
2741,979,117,0.995024875621886,0,64.24709831151195,1690086576.672
2707,979,117,1.2406947890818865,0,64.24187537077952,1690086577.674
2707,979,117,1.2406947890818865,0,64.24187537077952,1690086577.674
2707,979,117,1.2406947890818865,0,64.24187537077952,1690086578.677
2707,979,117,1.2406947890818865,0,64.24187537077952,1690086578.677
2741,1016,117,1.2406947890818865,0,64.23458296296442,1690086579.68
2741,1016,117,1.2406947890818865,0,64.23458296296442,1690086579.68
2806,1013,155,12.718204488778051,10,64.24680267335728,1690086580.682
2806,1013,155,12.718204488778051,10,64.24680267335728,1690086580.682
2806,1013,155,12.718204488778051,10,64.24680267335728,1690086581.685
2806,1013,155,12.718204488778051,10,64.24680267335728,1690086581.685
3329,1393,116,46.88279301745636,0,62.59024354671181,1690086582.688
3329,1393,116,46.88279301745636,0,62.59024354671181,1690086582.688
3401,1121,154,27.86069651741293,0,59.85963100416456,1690086583.69
3401,1121,154,27.86069651741293,0,59.85963100416456,1690086583.69
3401,1121,154,27.86069651741293,0,59.85963100416456,1690086584.693
3401,1121,154,27.86069651741293,0,59.85963100416456,1690086584.693
3473,1234,154,28.57142857142857,0,57.84909446033226,1690086585.695
3473,1234,154,28.57142857142857,0,57.84909446033226,1690086585.695
3473,1234,154,28.57142857142857,0,57.84909446033226,1690086586.698
3473,1234,154,28.57142857142857,0,57.84909446033226,1690086586.698
3252,1277,116,35.820895522388064,0,56.466197718856,1690086587.7
3252,1277,116,35.820895522388064,0,56.466197718856,1690086587.7
3583,1653,192,27.135678391959793,0,55.77322188431876,1690086588.703
3583,1653,192,27.135678391959793,0,55.77322188431876,1690086588.703
3583,1653,192,27.135678391959793,0,55.77322188431876,1690086589.706
3583,1653,192,27.135678391959793,0,55.77322188431876,1690086589.706
3434,1312,192,28.500000000000004,0,51.893463834584544,1690086590.709
3434,1312,192,28.500000000000004,0,51.893463834584544,1690086590.709
3511,1464,115,29.47103274559194,3.9,46.32866684930535,1690086591.71
3511,1464,115,29.47103274559194,3.9,46.32866684930535,1690086591.71
