energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2840,974,155,1.488833746898266,15.6,60.11752602108491,1690084080.969
2840,974,155,1.488833746898266,15.6,60.11752602108491,1690084080.969
2840,974,155,1.488833746898266,15.6,60.11752602108491,1690084081.971
2840,974,155,1.488833746898266,15.6,60.11752602108491,1690084081.971
2913,1010,194,1.980198019801982,0,60.111021981682256,1690084082.974
2913,1010,194,1.980198019801982,0,60.111021981682256,1690084082.974
2767,1013,116,1.741293532338306,0,60.108361238290264,1690084083.977
2767,1013,116,1.741293532338306,0,60.108361238290264,1690084083.977
2767,1013,116,1.741293532338306,0,60.108361238290264,1690084084.98
2767,1013,116,1.741293532338306,0,60.108361238290264,1690084084.98
2767,1013,116,1.7326732673267342,0,60.08579419248409,1690084085.983
2767,1013,116,1.7326732673267342,0,60.08579419248409,1690084085.983
2732,1013,117,4.207920792079212,0,60.01897996952956,1690084086.986
2732,1013,117,4.207920792079212,0,60.01897996952956,1690084086.986
2732,1013,117,4.207920792079212,0,60.01897996952956,1690084087.989
2732,1013,117,4.207920792079212,0,60.01897996952956,1690084087.989
2732,976,117,1.0000000000000009,0,60.03307205490198,1690084088.993
2732,976,117,1.0000000000000009,0,60.03307205490198,1690084088.993
3241,1078,115,31.328320802005017,0,57.284721223074754,1690084089.995
3241,1078,115,31.328320802005017,0,57.284721223074754,1690084089.995
3241,1078,115,31.328320802005017,0,57.284721223074754,1690084090.996
3241,1078,115,31.328320802005017,0,57.284721223074754,1690084090.996
3203,1119,115,31.25,0,54.641617574308654,1690084091.998
3203,1119,115,31.25,0,54.641617574308654,1690084091.998
3203,1119,115,31.25,0,54.641617574308654,1690084093.001
3203,1119,115,31.25,0,54.641617574308654,1690084093.001
3203,1041,115,28.109452736318406,0,51.746334579612395,1690084094.002
3203,1041,115,28.109452736318406,0,51.746334579612395,1690084094.002
3131,1082,115,28.179551122194514,0,48.88751362399163,1690084095.004
3131,1082,115,28.179551122194514,0,48.88751362399163,1690084095.004
3131,1082,115,28.179551122194514,0,48.88751362399163,1690084096.006
3131,1082,115,28.179551122194514,0,48.88751362399163,1690084096.006
3241,1078,115,27.819548872180455,0,45.60937921900283,1690084097.008
3241,1078,115,27.819548872180455,0,45.60937921900283,1690084097.008
3346,1192,153,47.263681592039795,3.5,44.3612934760543,1690084098.01
3346,1192,153,47.263681592039795,3.5,44.3612934760543,1690084098.01
3346,1192,153,47.263681592039795,3.5,44.3612934760543,1690084099.012
3346,1192,153,47.263681592039795,3.5,44.3612934760543,1690084099.012
3417,1612,115,27.901234567901234,0,42.9060639327364,1690084100.014
3417,1612,115,27.901234567901234,0,42.9060639327364,1690084100.014
3417,1612,115,27.901234567901234,0,42.9060639327364,1690084101.016
3417,1612,115,27.901234567901234,0,42.9060639327364,1690084101.016
3274,1117,154,28.03970223325062,12.5,40.08045299648979,1690084102.019
3274,1117,154,28.03970223325062,12.5,40.08045299648979,1690084102.019
3379,1420,153,27.431421446384043,8.6,39.04148197494171,1690084103.021
3379,1420,153,27.431421446384043,8.6,39.04148197494171,1690084103.021
3379,1420,153,27.431421446384043,8.6,39.04148197494171,1690084104.024
3379,1420,153,27.431421446384043,8.6,39.04148197494171,1690084104.024
3274,1194,115,27.930174563591027,0,37.16959972564779,1690084105.027
3274,1194,115,27.930174563591027,0,37.16959972564779,1690084105.027
3307,1192,154,28.855721393034827,0,35.22696141133713,1690084106.029
3307,1192,154,28.855721393034827,0,35.22696141133713,1690084106.029
3307,1192,154,28.855721393034827,0,35.22696141133713,1690084107.031
3307,1192,154,28.855721393034827,0,35.22696141133713,1690084107.031
3450,1610,153,28.358208955223883,0,31.664718739714253,1690084108.033
3450,1610,153,28.358208955223883,0,31.664718739714253,1690084108.033
3450,1610,153,28.358208955223883,0,31.664718739714253,1690084109.036
3450,1610,153,28.358208955223883,0,31.664718739714253,1690084109.036
3307,1115,115,28.6783042394015,0,22.89343032892701,1690084110.038
3307,1115,115,28.6783042394015,0,22.89343032892701,1690084110.038
3591,1719,114,26.865671641791046,12,22.70599573886873,1690084111.041
3591,1719,114,26.865671641791046,12,22.70599573886873,1690084111.041
3591,1719,114,26.865671641791046,12,22.70599573886873,1690084112.044
3591,1719,114,26.865671641791046,12,22.70599573886873,1690084112.044
3541,1713,152,26.865671641791046,12.3,20.23988079869604,1690084113.047
3541,1713,152,26.865671641791046,12.3,20.23988079869604,1690084113.047
3503,1637,114,39.69849246231156,0,18.271916149135652,1690084114.05
3503,1637,114,39.69849246231156,0,18.271916149135652,1690084114.05
3503,1637,114,39.69849246231156,0,18.271916149135652,1690084115.052
3503,1637,114,39.69849246231156,0,18.271916149135652,1690084115.052
3559,1722,153,26.865671641791046,0.8,15.789442564404771,1690084116.055
3559,1722,153,26.865671641791046,0.8,15.789442564404771,1690084116.055
3559,1722,153,26.865671641791046,0.8,15.789442564404771,1690084117.058
3559,1722,153,26.865671641791046,0.8,15.789442564404771,1690084117.058
3488,1492,153,26.065162907268167,3.4,13.98467017622005,1690084118.06
3488,1492,153,26.065162907268167,3.4,13.98467017622005,1690084118.06
3553,1757,114,26.932668329177055,0,11.541516466059756,1690084119.063
3553,1757,114,26.932668329177055,0,11.541516466059756,1690084119.063
3553,1757,114,26.932668329177055,0,11.541516466059756,1690084120.066
3553,1757,114,26.932668329177055,0,11.541516466059756,1690084120.066
3559,1528,114,27.22772277227723,0,10.013658482745571,1690084121.069
3559,1528,114,27.22772277227723,0,10.013658482745571,1690084121.069
3521,1722,114,26.5,0,7.545671167593328,1690084122.073
3521,1722,114,26.5,0,7.545671167593328,1690084122.073
3521,1722,114,26.5,0,7.545671167593328,1690084123.076
3521,1722,114,26.5,0,7.545671167593328,1690084123.076
3661,1675,114,27.363184079601986,0,11.604487393003625,1690084124.079
3661,1675,114,27.363184079601986,0,11.604487393003625,1690084124.079
3661,1675,114,27.363184079601986,0,11.604487393003625,1690084125.081
3661,1675,114,27.363184079601986,0,11.604487393003625,1690084125.081
3482,1683,114,26.683291770573568,0,11.591479314198319,1690084126.084
3482,1683,114,26.683291770573568,0,11.591479314198319,1690084126.084
3623,1754,114,27.114427860696523,0,9.713093025501747,1690084127.086
3623,1754,114,27.114427860696523,0,9.713093025501747,1690084127.086
3623,1754,114,27.114427860696523,0,9.713093025501747,1690084128.088
3623,1754,114,27.114427860696523,0,9.713093025501747,1690084128.088
3553,1719,114,27.114427860696523,0,10.550044641361355,1690084129.091
3553,1719,114,27.114427860696523,0,10.550044641361355,1690084129.091
3763,1900,114,26.980198019801982,4.8,11.817445410414742,1690084130.093
3763,1900,114,26.980198019801982,4.8,11.817445410414742,1690084130.093
3763,1900,114,26.980198019801982,4.8,11.817445410414742,1690084131.095
3763,1900,114,26.980198019801982,4.8,11.817445410414742,1690084131.095
3417,1228,153,30.05050505050505,0,5.828309127138203,1690084132.097
3417,1228,153,30.05050505050505,0,5.828309127138203,1690084132.097
3693,1566,190,31.219512195121958,0.1,1.7556964545101572,1690084133.099
3693,1566,190,31.219512195121958,0.1,1.7556964545101572,1690084133.099
3693,1566,190,31.219512195121958,0.1,1.7556964545101572,1690084134.102
3693,1566,190,31.219512195121958,0.1,1.7556964545101572,1690084134.102
3450,1305,153,34.58646616541353,0,1.6131988639611177,1690084135.105
3450,1305,153,34.58646616541353,0,1.6131988639611177,1690084135.105
3450,1305,153,34.58646616541353,0,1.6131988639611177,1690084136.107
3450,1305,153,34.58646616541353,0,1.6131988639611177,1690084136.107
3553,1637,152,32.920792079207914,5.5,1.8873539793881078,1690084137.108
3553,1637,152,32.920792079207914,5.5,1.8873539793881078,1690084137.108
3693,1780,228,34.16458852867831,0.4,1.99141860983056,1690084138.109
3693,1780,228,34.16458852867831,0.4,1.99141860983056,1690084138.109
3693,1780,228,34.16458852867831,0.4,1.99141860983056,1690084139.112
3693,1780,228,34.16458852867831,0.4,1.99141860983056,1690084139.112
3933,1966,151,35.08771929824561,0,2.1863426998070468,1690084140.113
3933,1966,151,35.08771929824561,0,2.1863426998070468,1690084140.113
3933,1966,151,35.08771929824561,0,2.1863426998070468,1690084141.116
3933,1966,151,35.08771929824561,0,2.1863426998070468,1690084141.116
3559,1634,114,38.33333333333333,0,4.384313833697625,1690084142.118
3559,1634,114,38.33333333333333,0,4.384313833697625,1690084142.118
3559,1490,153,28.109452736318406,0,3.4431004952924553,1690084143.121
3559,1490,153,28.109452736318406,0,3.4431004952924553,1690084143.121
3559,1490,153,28.109452736318406,0,3.4431004952924553,1690084144.123
3559,1490,153,28.109452736318406,0,3.4431004952924553,1690084144.123
3591,1757,114,30.17456359102244,0,3.225412267406682,1690084145.125
3591,1757,114,30.17456359102244,0,3.225412267406682,1690084145.125
3591,1757,114,30.17456359102244,0,3.225412267406682,1690084146.128
3591,1757,114,30.17456359102244,0,3.225412267406682,1690084146.128
3591,1681,152,26.865671641791046,0,3.616738638132986,1690084147.13
3591,1681,152,26.865671641791046,0,3.616738638132986,1690084147.13
3521,1645,153,26.749999999999996,0,3.596832335718805,1690084148.133
3521,1645,153,26.749999999999996,0,3.596832335718805,1690084148.133
3521,1645,153,26.749999999999996,0,3.596832335718805,1690084149.136
3521,1645,153,26.749999999999996,0,3.596832335718805,1690084149.136
3417,1610,115,27.114427860696523,0,3.721985821194102,1690084150.139
3417,1610,115,27.114427860696523,0,3.721985821194102,1690084150.139
3521,1607,191,27,0,3.639502776042272,1690084151.142
3521,1607,191,27,0,3.639502776042272,1690084151.142
3521,1607,191,27,0,3.639502776042272,1690084152.144
3521,1607,191,27,0,3.639502776042272,1690084152.144
3521,1642,191,26.799007444168733,0,3.64718936806359,1690084153.147
3521,1642,191,26.799007444168733,0,3.64718936806359,1690084153.147
3521,1642,191,26.799007444168733,0,3.64718936806359,1690084154.149
3521,1642,191,26.799007444168733,0,3.64718936806359,1690084154.149
3521,1683,114,27.29528535980149,0,2.057345918321091,1690084155.151
3521,1683,114,27.29528535980149,0,2.057345918321091,1690084155.151
3731,1675,152,30.465116279069772,3.4,4.661918060929053,1690084156.152
3731,1675,152,30.465116279069772,3.4,4.661918060929053,1690084156.152
3731,1675,152,30.465116279069772,3.4,4.661918060929053,1690084157.154
3731,1675,152,30.465116279069772,3.4,4.661918060929053,1690084157.154
2947,890,155,28.643216080402013,2.6,1.603541350908693,1690084158.157
2947,890,155,28.643216080402013,2.6,1.603541350908693,1690084158.157
2947,890,155,28.643216080402013,2.6,1.603541350908693,1690084159.161
2947,890,155,28.643216080402013,2.6,1.603541350908693,1690084159.161
3864,1710,189,44.13793103448276,0,1.580580120896296,1690084160.163
3864,1710,189,44.13793103448276,0,1.580580120896296,1690084160.163
3864,1710,189,44.13793103448276,0,1.580580120896296,1690084161.166
3864,1710,189,44.13793103448276,0,1.580580120896296,1690084161.166
3864,1710,189,44.13793103448276,0,1.580580120896296,1690084162.169
3864,1710,189,44.13793103448276,0,1.580580120896296,1690084162.169
3864,1710,189,44.13793103448276,0,1.580580120896296,1690084163.17
3864,1710,189,44.13793103448276,0,1.580580120896296,1690084163.17
3131,1192,154,53.13588850174216,0,1.8371940391464336,1690084164.173
3131,1192,154,53.13588850174216,0,1.8371940391464336,1690084164.173
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
3131,1192,154,53.13588850174216,0,1.8371940391464336,1690084196.254
3131,1192,154,53.13588850174216,0,1.8371940391464336,1690084196.254
3131,1192,154,53.13588850174216,0,1.8371940391464336,1690084197.257
3131,1192,154,53.13588850174216,0,1.8371940391464336,1690084197.257
3131,1192,154,53.13588850174216,0,1.8371940391464336,1690084198.259
3131,1192,154,53.13588850174216,0,1.8371940391464336,1690084198.259
3131,1192,154,53.13588850174216,0,1.8371940391464336,1690084199.262
3131,1192,154,53.13588850174216,0,1.8371940391464336,1690084199.262
2840,929,116,79.92895204262878,0,5.397859973944423,1690084200.265
2840,929,116,79.92895204262878,0,5.397859973944423,1690084200.265
2840,929,116,79.92895204262878,0,5.397859973944423,1690084201.268
2840,929,116,79.92895204262878,0,5.397859973944423,1690084201.268
2840,929,116,79.92895204262878,0,5.397859973944423,1690084202.271
2840,929,116,79.92895204262878,0,5.397859973944423,1690084202.271
2840,929,116,79.92895204262878,0,5.397859973944423,1690084203.274
2840,929,116,79.92895204262878,0,5.397859973944423,1690084203.274
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
2840,929,116,79.92895204262878,0,5.397859973944423,1690084207.282
2840,929,116,79.92895204262878,0,5.397859973944423,1690084207.282
2840,929,116,79.92895204262878,0,5.397859973944423,1690084208.284
2840,929,116,79.92895204262878,0,5.397859973944423,1690084208.284
2619,662,117,60.794044665012414,1.7,3.2093492610031595,1690084209.287
2619,662,117,60.794044665012414,1.7,3.2093492610031595,1690084209.287
2619,662,117,60.794044665012414,1.7,3.2093492610031595,1690084210.289
2619,662,117,60.794044665012414,1.7,3.2093492610031595,1690084210.289
2619,662,117,60.794044665012414,1.7,3.2093492610031595,1690084211.29
2619,662,117,60.794044665012414,1.7,3.2093492610031595,1690084211.29
2619,662,117,60.794044665012414,1.7,3.2093492610031595,1690084212.293
2619,662,117,60.794044665012414,1.7,3.2093492610031595,1690084212.293
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084213.296
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084213.296
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084214.299
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084214.299
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084215.302
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084215.302
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084216.304
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084216.304
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084221.316
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084221.316
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084222.319
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084222.319
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084223.322
2510,778,117,42.270531400966185,0.8,4.81082114482919,1690084223.322
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
3346,1377,115,62.3046875,0,5.869402830636785,1690084228.335
3346,1377,115,62.3046875,0,5.869402830636785,1690084228.335
3346,1377,115,62.3046875,0,5.869402830636785,1690084229.337
3346,1377,115,62.3046875,0,5.869402830636785,1690084229.337
3346,1377,115,62.3046875,0,5.869402830636785,1690084230.34
3346,1377,115,62.3046875,0,5.869402830636785,1690084230.34
3346,1377,115,62.3046875,0,5.869402830636785,1690084231.343
3346,1377,115,62.3046875,0,5.869402830636785,1690084231.343
3346,1377,115,62.3046875,0,5.869402830636785,1690084232.346
3346,1377,115,62.3046875,0,5.869402830636785,1690084232.346
2361,509,117,63.43873517786561,0,5.615154017623976,1690084233.35
2361,509,117,63.43873517786561,0,5.615154017623976,1690084233.35
2361,509,117,63.43873517786561,0,5.615154017623976,1690084234.352
2361,509,117,63.43873517786561,0,5.615154017623976,1690084234.352
2361,509,117,63.43873517786561,0,5.615154017623976,1690084235.355
2361,509,117,63.43873517786561,0,5.615154017623976,1690084235.355
2361,509,117,63.43873517786561,0,5.615154017623976,1690084236.357
2361,509,117,63.43873517786561,0,5.615154017623976,1690084236.357
2361,509,117,63.43873517786561,0,5.615154017623976,1690084237.358
2361,509,117,63.43873517786561,0,5.615154017623976,1690084237.358
2659,773,272,69.6923076923077,0,6.086105598007005,1690084238.36
2659,773,272,69.6923076923077,0,6.086105598007005,1690084238.36
2659,773,272,69.6923076923077,0,6.086105598007005,1690084239.362
2659,773,272,69.6923076923077,0,6.086105598007005,1690084239.362
2659,773,272,69.6923076923077,0,6.086105598007005,1690084240.364
2659,773,272,69.6923076923077,0,6.086105598007005,1690084240.364
2767,854,116,46.285714285714285,0,5.730945628201515,1690084241.366
2767,854,116,46.285714285714285,0,5.730945628201515,1690084241.366
2767,854,116,46.285714285714285,0,5.730945628201515,1690084242.369
2767,854,116,46.285714285714285,0,5.730945628201515,1690084242.369
2767,854,116,46.285714285714285,0,5.730945628201515,1690084243.372
2767,854,116,46.285714285714285,0,5.730945628201515,1690084243.372
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
2767,854,116,46.285714285714285,0,5.730945628201515,1690084247.381
2767,854,116,46.285714285714285,0,5.730945628201515,1690084247.381
2767,854,116,46.285714285714285,0,5.730945628201515,1690084248.384
2767,854,116,46.285714285714285,0,5.730945628201515,1690084248.384
2767,854,116,46.285714285714285,0,5.730945628201515,1690084249.387
2767,854,116,46.285714285714285,0,5.730945628201515,1690084249.387
2767,854,116,46.285714285714285,0,5.730945628201515,1690084250.39
2767,854,116,46.285714285714285,0,5.730945628201515,1690084250.39
2646,698,116,49.891067538126364,0,3.597817796234358,1690084251.393
2646,698,116,49.891067538126364,0,3.597817796234358,1690084251.393
2646,698,116,49.891067538126364,0,3.597817796234358,1690084252.395
2646,698,116,49.891067538126364,0,3.597817796234358,1690084252.395
2646,698,116,49.891067538126364,0,3.597817796234358,1690084253.397
2646,698,116,49.891067538126364,0,3.597817796234358,1690084253.397
2659,740,117,37.5609756097561,12.2,3.7202119922661057,1690084254.399
2659,740,117,37.5609756097561,12.2,3.7202119922661057,1690084254.399
2659,740,117,37.5609756097561,12.2,3.7202119922661057,1690084255.402
2659,740,117,37.5609756097561,12.2,3.7202119922661057,1690084255.402
3699,1523,456,36.9727047146402,3.4,4.140609448201238,1690084256.404
3699,1523,456,36.9727047146402,3.4,4.140609448201238,1690084256.404
3699,1523,456,36.9727047146402,3.4,4.140609448201238,1690084257.407
3699,1523,456,36.9727047146402,3.4,4.140609448201238,1690084257.407
3971,1550,453,38.80597014925373,6.8,3.7682039193735624,1690084258.409
3971,1550,453,38.80597014925373,6.8,3.7682039193735624,1690084258.409
3699,1525,456,31.829573934837097,0.1,3.717058518616335,1690084259.41
3699,1525,456,31.829573934837097,0.1,3.717058518616335,1690084259.41
3699,1525,456,31.829573934837097,0.1,3.717058518616335,1690084260.413
3699,1525,456,31.829573934837097,0.1,3.717058518616335,1690084260.413
3699,1525,381,40.6015037593985,15.9,3.9171070032736997,1690084261.416
3699,1525,381,40.6015037593985,15.9,3.9171070032736997,1690084261.416
3699,1525,381,40.6015037593985,15.9,3.9171070032736997,1690084262.419
