energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2728,974,117,1.2468827930174564,0,55.22688257449588,1690083687.95
2728,974,117,1.2468827930174564,0,55.22688257449588,1690083687.95
2801,1011,155,2.2277227722772297,0,55.23949646909497,1690083688.951
2801,1011,155,2.2277227722772297,0,55.23949646909497,1690083688.951
2874,1011,194,1.243781094527363,0,55.24797142952873,1690083689.955
2874,1011,194,1.243781094527363,0,55.24797142952873,1690083689.955
2874,1011,194,1.243781094527363,0,55.24797142952873,1690083690.957
2874,1011,194,1.243781094527363,0,55.24797142952873,1690083690.957
2732,974,117,1.488833746898266,0,55.23841246252786,1690083691.96
2732,974,117,1.488833746898266,0,55.23841246252786,1690083691.96
2732,974,117,1.488833746898266,0,55.23841246252786,1690083692.963
2732,974,117,1.488833746898266,0,55.23841246252786,1690083692.963
2801,1050,116,1.2468827930174564,0,55.24255139669319,1690083693.965
2801,1050,116,1.2468827930174564,0,55.24255139669319,1690083693.965
2767,1013,116,1.488833746898266,0,55.23614590334209,1690083694.967
2767,1013,116,1.488833746898266,0,55.23614590334209,1690083694.967
2767,1013,116,1.488833746898266,0,55.23614590334209,1690083695.97
2767,1013,116,1.488833746898266,0,55.23614590334209,1690083695.97
2767,974,116,1.488833746898266,0,55.24885834399274,1690083696.971
2767,974,116,1.488833746898266,0,55.24885834399274,1690083696.971
2732,974,117,1.975308641975304,0,55.23516044282653,1690083697.972
2732,974,117,1.975308641975304,0,55.23516044282653,1690083697.972
2732,974,117,1.975308641975304,0,55.23516044282653,1690083698.974
2732,974,117,1.975308641975304,0,55.23516044282653,1690083698.974
2767,974,117,1.7369727047146455,0,55.25280018605494,1690083699.977
2767,974,117,1.7369727047146455,0,55.25280018605494,1690083699.977
2728,974,117,45.54455445544554,0,54.27394225595563,1690083700.979
2728,974,117,45.54455445544554,0,54.27394225595563,1690083700.979
2728,974,117,45.54455445544554,0,54.27394225595563,1690083701.982
2728,974,117,45.54455445544554,0,54.27394225595563,1690083701.982
3203,1080,115,27.249999999999996,0,51.771365276707456,1690083702.985
3203,1080,115,27.249999999999996,0,51.771365276707456,1690083702.985
