energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2016,-1,-1,-1,-1,-1,1688340588.151
2016,-1,-1,-1,-1,-1,1688340588.151
2016,-1,-1,-1,-1,-1,1688340589.153
2016,-1,-1,-1,-1,-1,1688340589.153
2017.9999999999998,-1,-1,-1,-1,-1,1688340590.156
2017.9999999999998,-1,-1,-1,-1,-1,1688340590.156
2016,-1,-1,-1,-1,-1,1688340591.159
2016,-1,-1,-1,-1,-1,1688340591.159
2016,-1,-1,-1,-1,-1,1688340592.163
2016,-1,-1,-1,-1,-1,1688340592.163
2269,-1,-1,-1,-1,-1,1688340593.167
2269,-1,-1,-1,-1,-1,1688340593.167
2267,-1,-1,-1,-1,-1,1688340594.17
2267,-1,-1,-1,-1,-1,1688340594.17
2266,-1,-1,-1,-1,-1,1688340595.173
2266,-1,-1,-1,-1,-1,1688340595.173
2016,-1,-1,-1,-1,-1,1688340596.176
2016,-1,-1,-1,-1,-1,1688340596.176
2017.9999999999998,-1,-1,-1,-1,-1,1688340597.179
2017.9999999999998,-1,-1,-1,-1,-1,1688340597.179
2017.9999999999998,-1,-1,-1,-1,-1,1688340598.182
2017.9999999999998,-1,-1,-1,-1,-1,1688340598.182
2017,-1,-1,-1,-1,-1,1688340599.185
2017,-1,-1,-1,-1,-1,1688340599.185
2017,-1,-1,-1,-1,-1,1688340600.188
2017,-1,-1,-1,-1,-1,1688340600.188
2017.9999999999998,-1,-1,-1,-1,-1,1688340601.19
2017.9999999999998,-1,-1,-1,-1,-1,1688340601.19
2017.9999999999998,-1,-1,-1,-1,-1,1688340602.194
2017.9999999999998,-1,-1,-1,-1,-1,1688340602.194
2016,-1,-1,-1,-1,-1,1688340603.198
2016,-1,-1,-1,-1,-1,1688340603.198
2041,-1,-1,-1,-1,-1,1688340604.201
2041,-1,-1,-1,-1,-1,1688340604.201
3092,-1,-1,-1,-1,-1,1688340605.205
3092,-1,-1,-1,-1,-1,1688340605.205
2518,-1,-1,-1,-1,-1,1688340606.208
2518,-1,-1,-1,-1,-1,1688340606.208
2520,-1,-1,-1,-1,-1,1688340607.211
2520,-1,-1,-1,-1,-1,1688340607.211
2344,-1,-1,-1,-1,-1,1688340608.214
2344,-1,-1,-1,-1,-1,1688340608.214
2344,-1,-1,-1,-1,-1,1688340609.216
2344,-1,-1,-1,-1,-1,1688340609.216
2023.0000000000002,-1,-1,-1,-1,-1,1688340610.219
2023.0000000000002,-1,-1,-1,-1,-1,1688340610.219
2024,-1,-1,-1,-1,-1,1688340611.222
2024,-1,-1,-1,-1,-1,1688340611.222
2019.0000000000002,-1,-1,-1,-1,-1,1688340612.225
2019.0000000000002,-1,-1,-1,-1,-1,1688340612.225
2016,-1,-1,-1,-1,-1,1688340613.228
2016,-1,-1,-1,-1,-1,1688340613.228
2017,-1,-1,-1,-1,-1,1688340614.232
2017,-1,-1,-1,-1,-1,1688340614.232
2598,-1,-1,-1,-1,-1,1688340615.235
2598,-1,-1,-1,-1,-1,1688340615.235
2597,-1,-1,-1,-1,-1,1688340616.239
2597,-1,-1,-1,-1,-1,1688340616.239
2597,-1,-1,-1,-1,-1,1688340617.241
2597,-1,-1,-1,-1,-1,1688340617.241
2348,-1,-1,-1,-1,-1,1688340618.244
2348,-1,-1,-1,-1,-1,1688340618.244
