energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2257,-1,-1,-1,-1,-1,1688523415.359
2257,-1,-1,-1,-1,-1,1688523415.359
2258,-1,-1,-1,-1,-1,1688523416.361
2258,-1,-1,-1,-1,-1,1688523416.361
2259,-1,-1,-1,-1,-1,1688523417.363
2259,-1,-1,-1,-1,-1,1688523417.363
2005.9999999999998,-1,-1,-1,-1,-1,1688523418.366
2005.9999999999998,-1,-1,-1,-1,-1,1688523418.366
2007.0000000000002,-1,-1,-1,-1,-1,1688523419.369
2007.0000000000002,-1,-1,-1,-1,-1,1688523419.369
2262,-1,-1,-1,-1,-1,1688523420.371
2262,-1,-1,-1,-1,-1,1688523420.371
2262,-1,-1,-1,-1,-1,1688523421.374
2262,-1,-1,-1,-1,-1,1688523421.374
2259,-1,-1,-1,-1,-1,1688523422.376
2259,-1,-1,-1,-1,-1,1688523422.376
2423,-1,-1,-1,-1,-1,1688523423.379
2423,-1,-1,-1,-1,-1,1688523423.379
3318,-1,-1,-1,-1,-1,1688523424.381
3318,-1,-1,-1,-1,-1,1688523424.381
2853,-1,-1,-1,-1,-1,1688523425.384
2853,-1,-1,-1,-1,-1,1688523425.384
2850,-1,-1,-1,-1,-1,1688523426.386
2850,-1,-1,-1,-1,-1,1688523426.386
3198,-1,-1,-1,-1,-1,1688523427.389
3198,-1,-1,-1,-1,-1,1688523427.389
3198,-1,-1,-1,-1,-1,1688523428.391
3198,-1,-1,-1,-1,-1,1688523428.391
2946,-1,-1,-1,-1,-1,1688523429.394
2946,-1,-1,-1,-1,-1,1688523429.394
2947,-1,-1,-1,-1,-1,1688523430.397
2947,-1,-1,-1,-1,-1,1688523430.397
2945,-1,-1,-1,-1,-1,1688523431.399
2945,-1,-1,-1,-1,-1,1688523431.399
4611,-1,-1,-1,-1,-1,1688523432.4
4611,-1,-1,-1,-1,-1,1688523432.4
4679,-1,-1,-1,-1,-1,1688523433.402
4679,-1,-1,-1,-1,-1,1688523433.402
4687,-1,-1,-1,-1,-1,1688523434.404
4687,-1,-1,-1,-1,-1,1688523434.404
4687,-1,-1,-1,-1,-1,1688523435.406
4687,-1,-1,-1,-1,-1,1688523435.406
4598,-1,-1,-1,-1,-1,1688523436.408
4598,-1,-1,-1,-1,-1,1688523436.408
4363,-1,-1,-1,-1,-1,1688523437.41
4363,-1,-1,-1,-1,-1,1688523437.41
4680,-1,-1,-1,-1,-1,1688523438.411
4680,-1,-1,-1,-1,-1,1688523438.411
4640,-1,-1,-1,-1,-1,1688523439.413
4640,-1,-1,-1,-1,-1,1688523439.413
4332,-1,-1,-1,-1,-1,1688523440.414
4332,-1,-1,-1,-1,-1,1688523440.414
4331,-1,-1,-1,-1,-1,1688523441.416
4331,-1,-1,-1,-1,-1,1688523441.416
4414,-1,-1,-1,-1,-1,1688523442.417
4414,-1,-1,-1,-1,-1,1688523442.417
4182,-1,-1,-1,-1,-1,1688523443.419
4182,-1,-1,-1,-1,-1,1688523443.419
4277,-1,-1,-1,-1,-1,1688523444.422
4277,-1,-1,-1,-1,-1,1688523444.422
4272,-1,-1,-1,-1,-1,1688523445.424
4272,-1,-1,-1,-1,-1,1688523445.424
4626,-1,-1,-1,-1,-1,1688523446.425
4626,-1,-1,-1,-1,-1,1688523446.425
4319,-1,-1,-1,-1,-1,1688523447.426
4319,-1,-1,-1,-1,-1,1688523447.426
4463,-1,-1,-1,-1,-1,1688523448.427
4463,-1,-1,-1,-1,-1,1688523448.427
4462,-1,-1,-1,-1,-1,1688523449.428
4462,-1,-1,-1,-1,-1,1688523449.428
4714,-1,-1,-1,-1,-1,1688523450.43
4714,-1,-1,-1,-1,-1,1688523450.43
4371,-1,-1,-1,-1,-1,1688523451.431
4371,-1,-1,-1,-1,-1,1688523451.431
4453,-1,-1,-1,-1,-1,1688523452.432
4453,-1,-1,-1,-1,-1,1688523452.432
4280,-1,-1,-1,-1,-1,1688523453.433
4280,-1,-1,-1,-1,-1,1688523453.433
4280,-1,-1,-1,-1,-1,1688523454.435
4280,-1,-1,-1,-1,-1,1688523454.435
4435,-1,-1,-1,-1,-1,1688523455.438
4435,-1,-1,-1,-1,-1,1688523455.438
4463,-1,-1,-1,-1,-1,1688523456.44
4463,-1,-1,-1,-1,-1,1688523456.44
4698,-1,-1,-1,-1,-1,1688523457.441
4698,-1,-1,-1,-1,-1,1688523457.441
4696,-1,-1,-1,-1,-1,1688523458.443
4696,-1,-1,-1,-1,-1,1688523458.443
4616,-1,-1,-1,-1,-1,1688523459.445
4616,-1,-1,-1,-1,-1,1688523459.445
4700,-1,-1,-1,-1,-1,1688523460.449
4700,-1,-1,-1,-1,-1,1688523460.449
4705,-1,-1,-1,-1,-1,1688523461.451
4705,-1,-1,-1,-1,-1,1688523461.451
4372,-1,-1,-1,-1,-1,1688523462.452
4372,-1,-1,-1,-1,-1,1688523462.452
4371,-1,-1,-1,-1,-1,1688523463.455
4371,-1,-1,-1,-1,-1,1688523463.455
4402,-1,-1,-1,-1,-1,1688523464.457
4402,-1,-1,-1,-1,-1,1688523464.457
4219,-1,-1,-1,-1,-1,1688523465.458
4219,-1,-1,-1,-1,-1,1688523465.458
3892,-1,-1,-1,-1,-1,1688523466.467
3892,-1,-1,-1,-1,-1,1688523466.467
3890,-1,-1,-1,-1,-1,1688523467.469
3890,-1,-1,-1,-1,-1,1688523467.469
4446,-1,-1,-1,-1,-1,1688523468.47
4446,-1,-1,-1,-1,-1,1688523468.47
4455,-1,-1,-1,-1,-1,1688523469.472
4455,-1,-1,-1,-1,-1,1688523469.472
4584,-1,-1,-1,-1,-1,1688523470.473
4584,-1,-1,-1,-1,-1,1688523470.473
4586,-1,-1,-1,-1,-1,1688523471.475
4586,-1,-1,-1,-1,-1,1688523471.475
4680,-1,-1,-1,-1,-1,1688523472.476
4680,-1,-1,-1,-1,-1,1688523472.476
4311,-1,-1,-1,-1,-1,1688523473.477
4311,-1,-1,-1,-1,-1,1688523473.477
4370,-1,-1,-1,-1,-1,1688523474.478
4370,-1,-1,-1,-1,-1,1688523474.478
4402,-1,-1,-1,-1,-1,1688523475.479
4402,-1,-1,-1,-1,-1,1688523475.479
4405,-1,-1,-1,-1,-1,1688523476.481
4405,-1,-1,-1,-1,-1,1688523476.481
4362,-1,-1,-1,-1,-1,1688523477.484
4362,-1,-1,-1,-1,-1,1688523477.484
4239,-1,-1,-1,-1,-1,1688523478.486
4239,-1,-1,-1,-1,-1,1688523478.486
4156,-1,-1,-1,-1,-1,1688523479.488
4156,-1,-1,-1,-1,-1,1688523479.488
4156,-1,-1,-1,-1,-1,1688523480.49
4156,-1,-1,-1,-1,-1,1688523480.49
4382,-1,-1,-1,-1,-1,1688523481.491
4382,-1,-1,-1,-1,-1,1688523481.491
4631,-1,-1,-1,-1,-1,1688523482.493
4631,-1,-1,-1,-1,-1,1688523482.493
4733,-1,-1,-1,-1,-1,1688523483.494
4733,-1,-1,-1,-1,-1,1688523483.494
4287,-1,-1,-1,-1,-1,1688523484.496
4287,-1,-1,-1,-1,-1,1688523484.496
4285,-1,-1,-1,-1,-1,1688523485.498
4285,-1,-1,-1,-1,-1,1688523485.498
4451,-1,-1,-1,-1,-1,1688523486.502
4451,-1,-1,-1,-1,-1,1688523486.502
4391,-1,-1,-1,-1,-1,1688523487.504
4391,-1,-1,-1,-1,-1,1688523487.504
4373,-1,-1,-1,-1,-1,1688523488.507
4373,-1,-1,-1,-1,-1,1688523488.507
4371,-1,-1,-1,-1,-1,1688523489.509
4371,-1,-1,-1,-1,-1,1688523489.509
4402,-1,-1,-1,-1,-1,1688523490.511
4402,-1,-1,-1,-1,-1,1688523490.511
4337,-1,-1,-1,-1,-1,1688523491.512
4337,-1,-1,-1,-1,-1,1688523491.512
4419,-1,-1,-1,-1,-1,1688523492.514
4419,-1,-1,-1,-1,-1,1688523492.514
4707,-1,-1,-1,-1,-1,1688523493.515
4707,-1,-1,-1,-1,-1,1688523493.515
4709,-1,-1,-1,-1,-1,1688523494.516
4709,-1,-1,-1,-1,-1,1688523494.516
4455,-1,-1,-1,-1,-1,1688523495.519
4455,-1,-1,-1,-1,-1,1688523495.519
4300,-1,-1,-1,-1,-1,1688523496.521
4300,-1,-1,-1,-1,-1,1688523496.521
4374,-1,-1,-1,-1,-1,1688523497.524
4374,-1,-1,-1,-1,-1,1688523497.524
4376,-1,-1,-1,-1,-1,1688523498.526
4376,-1,-1,-1,-1,-1,1688523498.526
4425,-1,-1,-1,-1,-1,1688523499.527
4425,-1,-1,-1,-1,-1,1688523499.527
4455,-1,-1,-1,-1,-1,1688523500.529
4455,-1,-1,-1,-1,-1,1688523500.529
4300,-1,-1,-1,-1,-1,1688523501.53
4300,-1,-1,-1,-1,-1,1688523501.53
4299,-1,-1,-1,-1,-1,1688523502.531
4299,-1,-1,-1,-1,-1,1688523502.531
4681,-1,-1,-1,-1,-1,1688523503.532
4681,-1,-1,-1,-1,-1,1688523503.532
4544,-1,-1,-1,-1,-1,1688523504.534
4544,-1,-1,-1,-1,-1,1688523504.534
4145,-1,-1,-1,-1,-1,1688523505.536
4145,-1,-1,-1,-1,-1,1688523505.536
4306,-1,-1,-1,-1,-1,1688523506.538
4306,-1,-1,-1,-1,-1,1688523506.538
4307,-1,-1,-1,-1,-1,1688523507.539
4307,-1,-1,-1,-1,-1,1688523507.539
4232,-1,-1,-1,-1,-1,1688523508.541
4232,-1,-1,-1,-1,-1,1688523508.541
4374,-1,-1,-1,-1,-1,1688523509.543
4374,-1,-1,-1,-1,-1,1688523509.543
4200,-1,-1,-1,-1,-1,1688523510.545
4200,-1,-1,-1,-1,-1,1688523510.545
4197,-1,-1,-1,-1,-1,1688523511.547
4197,-1,-1,-1,-1,-1,1688523511.547
4198,-1,-1,-1,-1,-1,1688523512.549
4198,-1,-1,-1,-1,-1,1688523512.549
4459,-1,-1,-1,-1,-1,1688523513.551
4459,-1,-1,-1,-1,-1,1688523513.551
4471,-1,-1,-1,-1,-1,1688523514.553
4471,-1,-1,-1,-1,-1,1688523514.553
4660,-1,-1,-1,-1,-1,1688523515.554
4660,-1,-1,-1,-1,-1,1688523515.554
4663,-1,-1,-1,-1,-1,1688523516.556
4663,-1,-1,-1,-1,-1,1688523516.556
4467,-1,-1,-1,-1,-1,1688523517.557
4467,-1,-1,-1,-1,-1,1688523517.557
4263,-1,-1,-1,-1,-1,1688523518.559
4263,-1,-1,-1,-1,-1,1688523518.559
4355,-1,-1,-1,-1,-1,1688523519.561
4355,-1,-1,-1,-1,-1,1688523519.561
4351,-1,-1,-1,-1,-1,1688523520.563
4351,-1,-1,-1,-1,-1,1688523520.563
4445,-1,-1,-1,-1,-1,1688523521.564
4445,-1,-1,-1,-1,-1,1688523521.564
3990,-1,-1,-1,-1,-1,1688523522.566
3990,-1,-1,-1,-1,-1,1688523522.566
4246,-1,-1,-1,-1,-1,1688523523.568
4246,-1,-1,-1,-1,-1,1688523523.568
4246,-1,-1,-1,-1,-1,1688523524.571
4246,-1,-1,-1,-1,-1,1688523524.571
4675,-1,-1,-1,-1,-1,1688523525.572
4675,-1,-1,-1,-1,-1,1688523525.572
4621,-1,-1,-1,-1,-1,1688523526.573
4621,-1,-1,-1,-1,-1,1688523526.573
4595,-1,-1,-1,-1,-1,1688523527.574
4595,-1,-1,-1,-1,-1,1688523527.574
4462,-1,-1,-1,-1,-1,1688523528.575
4462,-1,-1,-1,-1,-1,1688523528.575
4464,-1,-1,-1,-1,-1,1688523529.576
4464,-1,-1,-1,-1,-1,1688523529.576
4394,-1,-1,-1,-1,-1,1688523530.577
4394,-1,-1,-1,-1,-1,1688523530.577
4358,-1,-1,-1,-1,-1,1688523531.578
4358,-1,-1,-1,-1,-1,1688523531.578
4431,-1,-1,-1,-1,-1,1688523532.579
4431,-1,-1,-1,-1,-1,1688523532.579
4433,-1,-1,-1,-1,-1,1688523533.58
4433,-1,-1,-1,-1,-1,1688523533.58
4403,-1,-1,-1,-1,-1,1688523534.581
4403,-1,-1,-1,-1,-1,1688523534.581
4373,-1,-1,-1,-1,-1,1688523535.584
4373,-1,-1,-1,-1,-1,1688523535.584
4710,-1,-1,-1,-1,-1,1688523536.585
4710,-1,-1,-1,-1,-1,1688523536.585
4668,-1,-1,-1,-1,-1,1688523537.587
4668,-1,-1,-1,-1,-1,1688523537.587
4667,-1,-1,-1,-1,-1,1688523538.589
4667,-1,-1,-1,-1,-1,1688523538.589
4426,-1,-1,-1,-1,-1,1688523539.591
4426,-1,-1,-1,-1,-1,1688523539.591
4156,-1,-1,-1,-1,-1,1688523540.593
4156,-1,-1,-1,-1,-1,1688523540.593
4451,-1,-1,-1,-1,-1,1688523541.594
4451,-1,-1,-1,-1,-1,1688523541.594
4452,-1,-1,-1,-1,-1,1688523542.595
4452,-1,-1,-1,-1,-1,1688523542.595
4057.0000000000005,-1,-1,-1,-1,-1,1688523543.597
4057.0000000000005,-1,-1,-1,-1,-1,1688523543.597
4277,-1,-1,-1,-1,-1,1688523544.599
4277,-1,-1,-1,-1,-1,1688523544.599
4439,-1,-1,-1,-1,-1,1688523545.601
4439,-1,-1,-1,-1,-1,1688523545.601
4441,-1,-1,-1,-1,-1,1688523546.603
4441,-1,-1,-1,-1,-1,1688523546.603
4404,-1,-1,-1,-1,-1,1688523547.606
4404,-1,-1,-1,-1,-1,1688523547.606
4594,-1,-1,-1,-1,-1,1688523548.607
4594,-1,-1,-1,-1,-1,1688523548.607
4711,-1,-1,-1,-1,-1,1688523549.608
4711,-1,-1,-1,-1,-1,1688523549.608
