energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2258,-1,-1,-1,-1,-1,1688522880.453
2258,-1,-1,-1,-1,-1,1688522881.454
2258,-1,-1,-1,-1,-1,1688522881.454
2043.0000000000002,-1,-1,-1,-1,-1,1688522882.457
2043.0000000000002,-1,-1,-1,-1,-1,1688522882.457
2007.0000000000002,-1,-1,-1,-1,-1,1688522883.459
2007.0000000000002,-1,-1,-1,-1,-1,1688522883.459
2005.9999999999998,-1,-1,-1,-1,-1,1688522884.462
2005.9999999999998,-1,-1,-1,-1,-1,1688522884.462
2005.9999999999998,-1,-1,-1,-1,-1,1688522885.464
2005.9999999999998,-1,-1,-1,-1,-1,1688522885.464
2007.0000000000002,-1,-1,-1,-1,-1,1688522886.466
2007.0000000000002,-1,-1,-1,-1,-1,1688522886.466
2005,-1,-1,-1,-1,-1,1688522887.468
2005,-1,-1,-1,-1,-1,1688522887.468
2005.9999999999998,-1,-1,-1,-1,-1,1688522888.471
2005.9999999999998,-1,-1,-1,-1,-1,1688522888.471
2005.9999999999998,-1,-1,-1,-1,-1,1688522889.473
2005.9999999999998,-1,-1,-1,-1,-1,1688522889.473
2005,-1,-1,-1,-1,-1,1688522890.475
2005,-1,-1,-1,-1,-1,1688522890.475
2255,-1,-1,-1,-1,-1,1688522891.477
2255,-1,-1,-1,-1,-1,1688522891.477
2895,-1,-1,-1,-1,-1,1688522892.479
2895,-1,-1,-1,-1,-1,1688522892.479
2895,-1,-1,-1,-1,-1,1688522892.479
2859,-1,-1,-1,-1,-1,1688522893.481
2859,-1,-1,-1,-1,-1,1688522893.481
2860,-1,-1,-1,-1,-1,1688522894.484
2860,-1,-1,-1,-1,-1,1688522894.484
3000,-1,-1,-1,-1,-1,1688522895.486
3000,-1,-1,-1,-1,-1,1688522895.486
2943,-1,-1,-1,-1,-1,1688522896.488
2943,-1,-1,-1,-1,-1,1688522896.488
2934,-1,-1,-1,-1,-1,1688522897.491
2934,-1,-1,-1,-1,-1,1688522897.491
2934,-1,-1,-1,-1,-1,1688522898.493
2934,-1,-1,-1,-1,-1,1688522898.493
2922,-1,-1,-1,-1,-1,1688522899.495
2922,-1,-1,-1,-1,-1,1688522899.495
2923,-1,-1,-1,-1,-1,1688522900.497
2923,-1,-1,-1,-1,-1,1688522900.497
2925,-1,-1,-1,-1,-1,1688522901.499
2925,-1,-1,-1,-1,-1,1688522901.499
3311,-1,-1,-1,-1,-1,1688522902.501
3311,-1,-1,-1,-1,-1,1688522902.501
3310,-1,-1,-1,-1,-1,1688522903.502
3310,-1,-1,-1,-1,-1,1688522903.502
3179,-1,-1,-1,-1,-1,1688522904.504
3179,-1,-1,-1,-1,-1,1688522904.504
2961,-1,-1,-1,-1,-1,1688522905.506
2961,-1,-1,-1,-1,-1,1688522905.506
2913,-1,-1,-1,-1,-1,1688522906.509
2913,-1,-1,-1,-1,-1,1688522906.509
2913,-1,-1,-1,-1,-1,1688522907.511
2913,-1,-1,-1,-1,-1,1688522907.511
2939,-1,-1,-1,-1,-1,1688522908.514
2939,-1,-1,-1,-1,-1,1688522908.514
3019,-1,-1,-1,-1,-1,1688522909.516
3019,-1,-1,-1,-1,-1,1688522909.516
3407,-1,-1,-1,-1,-1,1688522910.519
3407,-1,-1,-1,-1,-1,1688522910.519
2970,-1,-1,-1,-1,-1,1688522911.521
2970,-1,-1,-1,-1,-1,1688522911.521
2970,-1,-1,-1,-1,-1,1688522912.523
2970,-1,-1,-1,-1,-1,1688522912.523
3188,-1,-1,-1,-1,-1,1688522913.525
3188,-1,-1,-1,-1,-1,1688522913.525
3190,-1,-1,-1,-1,-1,1688522914.527
3190,-1,-1,-1,-1,-1,1688522914.527
3052,-1,-1,-1,-1,-1,1688522915.529
3052,-1,-1,-1,-1,-1,1688522915.529
3053,-1,-1,-1,-1,-1,1688522916.531
3053,-1,-1,-1,-1,-1,1688522916.531
3025,-1,-1,-1,-1,-1,1688522917.534
3025,-1,-1,-1,-1,-1,1688522917.534
2907,-1,-1,-1,-1,-1,1688522918.536
2907,-1,-1,-1,-1,-1,1688522918.536
4145,-1,-1,-1,-1,-1,1688522919.538
4145,-1,-1,-1,-1,-1,1688522919.538
4147,-1,-1,-1,-1,-1,1688522920.541
4147,-1,-1,-1,-1,-1,1688522920.541
4213,-1,-1,-1,-1,-1,1688522921.543
4213,-1,-1,-1,-1,-1,1688522921.543
4221,-1,-1,-1,-1,-1,1688522922.545
4221,-1,-1,-1,-1,-1,1688522922.545
