energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2019.0000000000002,-1,-1,-1,-1,-1,1688525120.35
2019.0000000000002,-1,-1,-1,-1,-1,1688525120.35
2020,-1,-1,-1,-1,-1,1688525121.351
2020,-1,-1,-1,-1,-1,1688525121.351
2019.0000000000002,-1,-1,-1,-1,-1,1688525122.353
2019.0000000000002,-1,-1,-1,-1,-1,1688525122.353
2275,-1,-1,-1,-1,-1,1688525123.355
2275,-1,-1,-1,-1,-1,1688525123.355
2274,-1,-1,-1,-1,-1,1688525124.357
2274,-1,-1,-1,-1,-1,1688525124.357
2274,-1,-1,-1,-1,-1,1688525125.359
2274,-1,-1,-1,-1,-1,1688525125.359
2017.9999999999998,-1,-1,-1,-1,-1,1688525126.362
2017.9999999999998,-1,-1,-1,-1,-1,1688525126.362
2020,-1,-1,-1,-1,-1,1688525127.365
2020,-1,-1,-1,-1,-1,1688525127.365
2020,-1,-1,-1,-1,-1,1688525128.367
2020,-1,-1,-1,-1,-1,1688525128.367
2738,-1,-1,-1,-1,-1,1688525129.37
2738,-1,-1,-1,-1,-1,1688525129.37
2865,-1,-1,-1,-1,-1,1688525130.373
2865,-1,-1,-1,-1,-1,1688525130.373
2953,-1,-1,-1,-1,-1,1688525131.375
2953,-1,-1,-1,-1,-1,1688525131.375
2955,-1,-1,-1,-1,-1,1688525132.377
2955,-1,-1,-1,-1,-1,1688525132.377
2955,-1,-1,-1,-1,-1,1688525133.379
2955,-1,-1,-1,-1,-1,1688525133.379
3103,-1,-1,-1,-1,-1,1688525134.38
3103,-1,-1,-1,-1,-1,1688525134.38
3212,-1,-1,-1,-1,-1,1688525135.383
3212,-1,-1,-1,-1,-1,1688525135.383
3236,-1,-1,-1,-1,-1,1688525136.385
3236,-1,-1,-1,-1,-1,1688525136.385
3227,-1,-1,-1,-1,-1,1688525137.387
3227,-1,-1,-1,-1,-1,1688525137.387
4389,-1,-1,-1,-1,-1,1688525138.389
4389,-1,-1,-1,-1,-1,1688525138.389
4388,-1,-1,-1,-1,-1,1688525139.392
4388,-1,-1,-1,-1,-1,1688525139.392
4400,-1,-1,-1,-1,-1,1688525140.394
4400,-1,-1,-1,-1,-1,1688525140.394
4446,-1,-1,-1,-1,-1,1688525141.395
4446,-1,-1,-1,-1,-1,1688525141.395
4449,-1,-1,-1,-1,-1,1688525142.396
4449,-1,-1,-1,-1,-1,1688525142.396
4347,-1,-1,-1,-1,-1,1688525143.397
4347,-1,-1,-1,-1,-1,1688525143.397
4303,-1,-1,-1,-1,-1,1688525144.399
4303,-1,-1,-1,-1,-1,1688525144.399
4541,-1,-1,-1,-1,-1,1688525145.4
4541,-1,-1,-1,-1,-1,1688525145.4
4539,-1,-1,-1,-1,-1,1688525146.402
4539,-1,-1,-1,-1,-1,1688525146.402
4676,-1,-1,-1,-1,-1,1688525147.404
4676,-1,-1,-1,-1,-1,1688525147.404
4453,-1,-1,-1,-1,-1,1688525148.406
