energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2176,-1,-1,-1,-1,-1,1688524792.762
2176,-1,-1,-1,-1,-1,1688524792.762
2274,-1,-1,-1,-1,-1,1688524793.764
2274,-1,-1,-1,-1,-1,1688524793.764
2274,-1,-1,-1,-1,-1,1688524794.766
2274,-1,-1,-1,-1,-1,1688524794.766
2275,-1,-1,-1,-1,-1,1688524795.769
2275,-1,-1,-1,-1,-1,1688524795.769
2023.0000000000002,-1,-1,-1,-1,-1,1688524796.771
2023.0000000000002,-1,-1,-1,-1,-1,1688524796.771
2023.0000000000002,-1,-1,-1,-1,-1,1688524797.774
2023.0000000000002,-1,-1,-1,-1,-1,1688524797.774
2275,-1,-1,-1,-1,-1,1688524798.776
2275,-1,-1,-1,-1,-1,1688524798.776
2274,-1,-1,-1,-1,-1,1688524799.779
2274,-1,-1,-1,-1,-1,1688524799.779
2276,-1,-1,-1,-1,-1,1688524800.782
2276,-1,-1,-1,-1,-1,1688524800.782
2023.0000000000002,-1,-1,-1,-1,-1,1688524801.784
2023.0000000000002,-1,-1,-1,-1,-1,1688524801.784
2021,-1,-1,-1,-1,-1,1688524802.787
2021,-1,-1,-1,-1,-1,1688524802.787
2276,-1,-1,-1,-1,-1,1688524803.79
2276,-1,-1,-1,-1,-1,1688524803.79
2273,-1,-1,-1,-1,-1,1688524804.792
2273,-1,-1,-1,-1,-1,1688524804.792
2605,-1,-1,-1,-1,-1,1688524805.795
2605,-1,-1,-1,-1,-1,1688524805.795
2583,-1,-1,-1,-1,-1,1688524806.797
2583,-1,-1,-1,-1,-1,1688524806.797
3477,-1,-1,-1,-1,-1,1688524807.799
3477,-1,-1,-1,-1,-1,1688524807.799
3475,-1,-1,-1,-1,-1,1688524808.802
3475,-1,-1,-1,-1,-1,1688524808.802
2882,-1,-1,-1,-1,-1,1688524809.804
2882,-1,-1,-1,-1,-1,1688524809.804
2942,-1,-1,-1,-1,-1,1688524810.807
2942,-1,-1,-1,-1,-1,1688524810.807
2932,-1,-1,-1,-1,-1,1688524811.809
2932,-1,-1,-1,-1,-1,1688524811.809
2956,-1,-1,-1,-1,-1,1688524812.811
2956,-1,-1,-1,-1,-1,1688524812.811
2956,-1,-1,-1,-1,-1,1688524813.814
2956,-1,-1,-1,-1,-1,1688524813.814
2937,-1,-1,-1,-1,-1,1688524814.816
2937,-1,-1,-1,-1,-1,1688524814.816
3188,-1,-1,-1,-1,-1,1688524815.818
3188,-1,-1,-1,-1,-1,1688524815.818
3195,-1,-1,-1,-1,-1,1688524816.819
3195,-1,-1,-1,-1,-1,1688524816.819
3195,-1,-1,-1,-1,-1,1688524817.82
3195,-1,-1,-1,-1,-1,1688524817.82
2940,-1,-1,-1,-1,-1,1688524818.822
2940,-1,-1,-1,-1,-1,1688524818.822
2955,-1,-1,-1,-1,-1,1688524819.823
2955,-1,-1,-1,-1,-1,1688524819.823
2957,-1,-1,-1,-1,-1,1688524820.824
2957,-1,-1,-1,-1,-1,1688524820.824
2957,-1,-1,-1,-1,-1,1688524821.826
2957,-1,-1,-1,-1,-1,1688524821.826
2956,-1,-1,-1,-1,-1,1688524822.827
2956,-1,-1,-1,-1,-1,1688524822.827
3038,-1,-1,-1,-1,-1,1688524823.828
3038,-1,-1,-1,-1,-1,1688524823.828
3038,-1,-1,-1,-1,-1,1688524824.829
3038,-1,-1,-1,-1,-1,1688524824.829
3233,-1,-1,-1,-1,-1,1688524825.831
3233,-1,-1,-1,-1,-1,1688524825.831
3230,-1,-1,-1,-1,-1,1688524826.834
3230,-1,-1,-1,-1,-1,1688524826.834
3188,-1,-1,-1,-1,-1,1688524827.837
3188,-1,-1,-1,-1,-1,1688524827.837
3123,-1,-1,-1,-1,-1,1688524828.839
3123,-1,-1,-1,-1,-1,1688524828.839
2926,-1,-1,-1,-1,-1,1688524829.84
2926,-1,-1,-1,-1,-1,1688524829.84
2926,-1,-1,-1,-1,-1,1688524830.843
2926,-1,-1,-1,-1,-1,1688524830.843
3037,-1,-1,-1,-1,-1,1688524831.844
3037,-1,-1,-1,-1,-1,1688524831.844
3037,-1,-1,-1,-1,-1,1688524832.845
3037,-1,-1,-1,-1,-1,1688524832.845
4018,-1,-1,-1,-1,-1,1688524833.847
4018,-1,-1,-1,-1,-1,1688524833.847
4322,-1,-1,-1,-1,-1,1688524834.848
4322,-1,-1,-1,-1,-1,1688524834.848
4323,-1,-1,-1,-1,-1,1688524835.85
4323,-1,-1,-1,-1,-1,1688524835.85
4328,-1,-1,-1,-1,-1,1688524836.852
4328,-1,-1,-1,-1,-1,1688524836.852
4492,-1,-1,-1,-1,-1,1688524837.855
4492,-1,-1,-1,-1,-1,1688524837.855
4640,-1,-1,-1,-1,-1,1688524838.857
4640,-1,-1,-1,-1,-1,1688524838.857
4641,-1,-1,-1,-1,-1,1688524839.86
4641,-1,-1,-1,-1,-1,1688524839.86
4281,-1,-1,-1,-1,-1,1688524840.861
4281,-1,-1,-1,-1,-1,1688524840.861
4228,-1,-1,-1,-1,-1,1688524841.862
4228,-1,-1,-1,-1,-1,1688524841.862
4243,-1,-1,-1,-1,-1,1688524842.864
4243,-1,-1,-1,-1,-1,1688524842.864
4244,-1,-1,-1,-1,-1,1688524843.866
4244,-1,-1,-1,-1,-1,1688524843.866
4278,-1,-1,-1,-1,-1,1688524844.868
4278,-1,-1,-1,-1,-1,1688524844.868
4227,-1,-1,-1,-1,-1,1688524845.87
4227,-1,-1,-1,-1,-1,1688524845.87
4182,-1,-1,-1,-1,-1,1688524846.871
4182,-1,-1,-1,-1,-1,1688524846.871
4375,-1,-1,-1,-1,-1,1688524847.873
4375,-1,-1,-1,-1,-1,1688524847.873
4376,-1,-1,-1,-1,-1,1688524848.874
4376,-1,-1,-1,-1,-1,1688524848.874
4650,-1,-1,-1,-1,-1,1688524849.875
4650,-1,-1,-1,-1,-1,1688524849.875
4551,-1,-1,-1,-1,-1,1688524850.876
4551,-1,-1,-1,-1,-1,1688524850.876
4218,-1,-1,-1,-1,-1,1688524851.878
4218,-1,-1,-1,-1,-1,1688524851.878
4219,-1,-1,-1,-1,-1,1688524852.88
4219,-1,-1,-1,-1,-1,1688524852.88
4150,-1,-1,-1,-1,-1,1688524853.883
4150,-1,-1,-1,-1,-1,1688524853.883
4271,-1,-1,-1,-1,-1,1688524854.887
4271,-1,-1,-1,-1,-1,1688524854.887
4299,-1,-1,-1,-1,-1,1688524855.889
4299,-1,-1,-1,-1,-1,1688524855.889
4280,-1,-1,-1,-1,-1,1688524856.89
4280,-1,-1,-1,-1,-1,1688524856.89
4280,-1,-1,-1,-1,-1,1688524857.891
4280,-1,-1,-1,-1,-1,1688524857.891
4235,-1,-1,-1,-1,-1,1688524858.894
