energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2017,-1,-1,-1,-1,-1,1688526365.426
2017,-1,-1,-1,-1,-1,1688526365.426
2017.9999999999998,-1,-1,-1,-1,-1,1688526366.427
2017.9999999999998,-1,-1,-1,-1,-1,1688526366.427
2019.0000000000002,-1,-1,-1,-1,-1,1688526367.43
2019.0000000000002,-1,-1,-1,-1,-1,1688526367.43
2019.0000000000002,-1,-1,-1,-1,-1,1688526368.432
2019.0000000000002,-1,-1,-1,-1,-1,1688526368.432
2019.0000000000002,-1,-1,-1,-1,-1,1688526369.435
2019.0000000000002,-1,-1,-1,-1,-1,1688526369.435
2017.9999999999998,-1,-1,-1,-1,-1,1688526370.437
2017.9999999999998,-1,-1,-1,-1,-1,1688526370.437
2271,-1,-1,-1,-1,-1,1688526371.439
2271,-1,-1,-1,-1,-1,1688526371.439
2269,-1,-1,-1,-1,-1,1688526372.442
2269,-1,-1,-1,-1,-1,1688526372.442
2066,-1,-1,-1,-1,-1,1688526373.444
2066,-1,-1,-1,-1,-1,1688526373.444
2067,-1,-1,-1,-1,-1,1688526374.447
2067,-1,-1,-1,-1,-1,1688526374.447
2019.0000000000002,-1,-1,-1,-1,-1,1688526375.449
2019.0000000000002,-1,-1,-1,-1,-1,1688526375.449
2017.9999999999998,-1,-1,-1,-1,-1,1688526376.451
2017.9999999999998,-1,-1,-1,-1,-1,1688526376.451
2880,-1,-1,-1,-1,-1,1688526377.453
2880,-1,-1,-1,-1,-1,1688526377.453
2874,-1,-1,-1,-1,-1,1688526378.456
2874,-1,-1,-1,-1,-1,1688526378.456
2864,-1,-1,-1,-1,-1,1688526379.458
2864,-1,-1,-1,-1,-1,1688526379.458
2955,-1,-1,-1,-1,-1,1688526380.461
2955,-1,-1,-1,-1,-1,1688526380.461
2936,-1,-1,-1,-1,-1,1688526381.463
2936,-1,-1,-1,-1,-1,1688526381.463
3266,-1,-1,-1,-1,-1,1688526382.466
3266,-1,-1,-1,-1,-1,1688526382.466
3266,-1,-1,-1,-1,-1,1688526383.468
3266,-1,-1,-1,-1,-1,1688526383.468
3193,-1,-1,-1,-1,-1,1688526384.471
3193,-1,-1,-1,-1,-1,1688526384.471
2936,-1,-1,-1,-1,-1,1688526385.473
2936,-1,-1,-1,-1,-1,1688526385.473
4348,-1,-1,-1,-1,-1,1688526386.475
4348,-1,-1,-1,-1,-1,1688526386.475
4349,-1,-1,-1,-1,-1,1688526387.478
4349,-1,-1,-1,-1,-1,1688526387.478
4268,-1,-1,-1,-1,-1,1688526388.479
4268,-1,-1,-1,-1,-1,1688526388.479
4409,-1,-1,-1,-1,-1,1688526389.48
4409,-1,-1,-1,-1,-1,1688526389.48
4320,-1,-1,-1,-1,-1,1688526390.482
4320,-1,-1,-1,-1,-1,1688526390.482
4320,-1,-1,-1,-1,-1,1688526391.486
4320,-1,-1,-1,-1,-1,1688526391.486
