energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2240,-1,-1,-1,-1,-1,1688526107.516
2240,-1,-1,-1,-1,-1,1688526107.516
2271,-1,-1,-1,-1,-1,1688526108.519
2271,-1,-1,-1,-1,-1,1688526108.519
2271,-1,-1,-1,-1,-1,1688526109.522
2271,-1,-1,-1,-1,-1,1688526109.522
2272,-1,-1,-1,-1,-1,1688526110.524
2272,-1,-1,-1,-1,-1,1688526110.524
2020,-1,-1,-1,-1,-1,1688526111.526
2020,-1,-1,-1,-1,-1,1688526111.526
2017.9999999999998,-1,-1,-1,-1,-1,1688526112.529
2017.9999999999998,-1,-1,-1,-1,-1,1688526112.529
2019.0000000000002,-1,-1,-1,-1,-1,1688526113.531
2019.0000000000002,-1,-1,-1,-1,-1,1688526113.531
2019.0000000000002,-1,-1,-1,-1,-1,1688526114.534
2019.0000000000002,-1,-1,-1,-1,-1,1688526114.534
2015.0000000000002,-1,-1,-1,-1,-1,1688526115.537
2015.0000000000002,-1,-1,-1,-1,-1,1688526115.537
2863,-1,-1,-1,-1,-1,1688526116.54
2863,-1,-1,-1,-1,-1,1688526116.54
2874,-1,-1,-1,-1,-1,1688526117.542
2874,-1,-1,-1,-1,-1,1688526117.542
2873,-1,-1,-1,-1,-1,1688526118.545
2873,-1,-1,-1,-1,-1,1688526118.545
3206,-1,-1,-1,-1,-1,1688526119.548
3206,-1,-1,-1,-1,-1,1688526119.548
3193,-1,-1,-1,-1,-1,1688526120.55
3193,-1,-1,-1,-1,-1,1688526120.55
3033,-1,-1,-1,-1,-1,1688526121.553
3033,-1,-1,-1,-1,-1,1688526121.553
2939,-1,-1,-1,-1,-1,1688526122.555
2939,-1,-1,-1,-1,-1,1688526122.555
2938,-1,-1,-1,-1,-1,1688526123.557
2938,-1,-1,-1,-1,-1,1688526123.557
2948,-1,-1,-1,-1,-1,1688526124.558
2948,-1,-1,-1,-1,-1,1688526124.558
2947,-1,-1,-1,-1,-1,1688526125.56
2947,-1,-1,-1,-1,-1,1688526125.56
2947,-1,-1,-1,-1,-1,1688526126.561
2947,-1,-1,-1,-1,-1,1688526126.561
2947,-1,-1,-1,-1,-1,1688526127.562
2947,-1,-1,-1,-1,-1,1688526127.562
2953,-1,-1,-1,-1,-1,1688526128.564
2953,-1,-1,-1,-1,-1,1688526128.564
3202,-1,-1,-1,-1,-1,1688526129.566
3202,-1,-1,-1,-1,-1,1688526129.566
3202,-1,-1,-1,-1,-1,1688526130.567
3202,-1,-1,-1,-1,-1,1688526130.567
3201,-1,-1,-1,-1,-1,1688526131.568
3201,-1,-1,-1,-1,-1,1688526131.568
3031,-1,-1,-1,-1,-1,1688526132.571
3031,-1,-1,-1,-1,-1,1688526132.571
3040,-1,-1,-1,-1,-1,1688526133.574
3040,-1,-1,-1,-1,-1,1688526133.574
2981,-1,-1,-1,-1,-1,1688526134.576
2981,-1,-1,-1,-1,-1,1688526134.576
2981,-1,-1,-1,-1,-1,1688526135.578
2981,-1,-1,-1,-1,-1,1688526135.578
2955,-1,-1,-1,-1,-1,1688526136.58
2955,-1,-1,-1,-1,-1,1688526136.58
2966,-1,-1,-1,-1,-1,1688526137.582
2966,-1,-1,-1,-1,-1,1688526137.582
3040,-1,-1,-1,-1,-1,1688526138.584
3040,-1,-1,-1,-1,-1,1688526138.584
3041,-1,-1,-1,-1,-1,1688526139.585
3041,-1,-1,-1,-1,-1,1688526139.585
3041,-1,-1,-1,-1,-1,1688526140.587
3041,-1,-1,-1,-1,-1,1688526140.587
3177,-1,-1,-1,-1,-1,1688526141.588
3177,-1,-1,-1,-1,-1,1688526141.588
4259,-1,-1,-1,-1,-1,1688526142.591
4259,-1,-1,-1,-1,-1,1688526142.591
4283,-1,-1,-1,-1,-1,1688526143.592
4283,-1,-1,-1,-1,-1,1688526143.592
4286,-1,-1,-1,-1,-1,1688526144.593
4286,-1,-1,-1,-1,-1,1688526144.593
4302,-1,-1,-1,-1,-1,1688526145.594
4302,-1,-1,-1,-1,-1,1688526145.594
4297,-1,-1,-1,-1,-1,1688526146.596
4297,-1,-1,-1,-1,-1,1688526146.596
4113,-1,-1,-1,-1,-1,1688526147.598
4113,-1,-1,-1,-1,-1,1688526147.598
4279,-1,-1,-1,-1,-1,1688526148.6
4279,-1,-1,-1,-1,-1,1688526148.6
4278,-1,-1,-1,-1,-1,1688526149.602
4278,-1,-1,-1,-1,-1,1688526149.602
4277,-1,-1,-1,-1,-1,1688526150.604
4277,-1,-1,-1,-1,-1,1688526150.604
4231,-1,-1,-1,-1,-1,1688526151.607
4231,-1,-1,-1,-1,-1,1688526151.607
4626,-1,-1,-1,-1,-1,1688526152.609
4626,-1,-1,-1,-1,-1,1688526152.609
4624,-1,-1,-1,-1,-1,1688526153.61
4624,-1,-1,-1,-1,-1,1688526153.61
4184,-1,-1,-1,-1,-1,1688526154.613
