energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4641.0,-1,-1,-1,-1,-1,1688524839.86
4641.0,-1,-1,-1,-1,-1,1688524839.86
4281.0,-1,-1,-1,-1,-1,1688524840.861
4281.0,-1,-1,-1,-1,-1,1688524840.861
4228.0,-1,-1,-1,-1,-1,1688524841.862
4228.0,-1,-1,-1,-1,-1,1688524841.862
4243.0,-1,-1,-1,-1,-1,1688524842.864
4243.0,-1,-1,-1,-1,-1,1688524842.864
4244.0,-1,-1,-1,-1,-1,1688524843.866
4244.0,-1,-1,-1,-1,-1,1688524843.866
4278.0,-1,-1,-1,-1,-1,1688524844.868
4278.0,-1,-1,-1,-1,-1,1688524844.868
4227.0,-1,-1,-1,-1,-1,1688524845.87
4227.0,-1,-1,-1,-1,-1,1688524845.87
4182.0,-1,-1,-1,-1,-1,1688524846.871
4182.0,-1,-1,-1,-1,-1,1688524846.871
4375.0,-1,-1,-1,-1,-1,1688524847.873
4375.0,-1,-1,-1,-1,-1,1688524847.873
4376.0,-1,-1,-1,-1,-1,1688524848.874
4376.0,-1,-1,-1,-1,-1,1688524848.874
4650.0,-1,-1,-1,-1,-1,1688524849.875
4650.0,-1,-1,-1,-1,-1,1688524849.875
4551.0,-1,-1,-1,-1,-1,1688524850.876
4551.0,-1,-1,-1,-1,-1,1688524850.876
4218.0,-1,-1,-1,-1,-1,1688524851.878
4218.0,-1,-1,-1,-1,-1,1688524851.878
4219.0,-1,-1,-1,-1,-1,1688524852.88
4219.0,-1,-1,-1,-1,-1,1688524852.88
4150.0,-1,-1,-1,-1,-1,1688524853.883
4150.0,-1,-1,-1,-1,-1,1688524853.883
4271.0,-1,-1,-1,-1,-1,1688524854.887
4271.0,-1,-1,-1,-1,-1,1688524854.887
4299.0,-1,-1,-1,-1,-1,1688524855.889
4299.0,-1,-1,-1,-1,-1,1688524855.889
4280.0,-1,-1,-1,-1,-1,1688524856.89
4280.0,-1,-1,-1,-1,-1,1688524856.89
4280.0,-1,-1,-1,-1,-1,1688524857.891
4280.0,-1,-1,-1,-1,-1,1688524857.891
4235.0,-1,-1,-1,-1,-1,1688524858.894
4235.0,-1,-1,-1,-1,-1,1688524858.894
4504.0,-1,-1,-1,-1,-1,1688524859.897
4504.0,-1,-1,-1,-1,-1,1688524859.897
4461.0,-1,-1,-1,-1,-1,1688524860.899
4461.0,-1,-1,-1,-1,-1,1688524860.899
4460.0,-1,-1,-1,-1,-1,1688524861.901
4460.0,-1,-1,-1,-1,-1,1688524861.901
4336.0,-1,-1,-1,-1,-1,1688524862.903
4336.0,-1,-1,-1,-1,-1,1688524862.903
4071.0,-1,-1,-1,-1,-1,1688524863.905
4071.0,-1,-1,-1,-1,-1,1688524863.905
4328.0,-1,-1,-1,-1,-1,1688524864.907
4328.0,-1,-1,-1,-1,-1,1688524864.907
4309.0,-1,-1,-1,-1,-1,1688524865.908
4309.0,-1,-1,-1,-1,-1,1688524865.908
4338.0,-1,-1,-1,-1,-1,1688524866.909
4338.0,-1,-1,-1,-1,-1,1688524866.909
4339.0,-1,-1,-1,-1,-1,1688524867.91
4339.0,-1,-1,-1,-1,-1,1688524867.91
4277.0,-1,-1,-1,-1,-1,1688524868.911
4277.0,-1,-1,-1,-1,-1,1688524868.911
4395.0,-1,-1,-1,-1,-1,1688524869.912
4395.0,-1,-1,-1,-1,-1,1688524869.912
4505.0,-1,-1,-1,-1,-1,1688524870.914
4505.0,-1,-1,-1,-1,-1,1688524870.914
4507.0,-1,-1,-1,-1,-1,1688524871.917
4507.0,-1,-1,-1,-1,-1,1688524871.917
4542.0,-1,-1,-1,-1,-1,1688524872.919
4542.0,-1,-1,-1,-1,-1,1688524872.919
4176.0,-1,-1,-1,-1,-1,1688524873.922
4176.0,-1,-1,-1,-1,-1,1688524873.922
4296.0,-1,-1,-1,-1,-1,1688524874.923
4296.0,-1,-1,-1,-1,-1,1688524874.923
4288.0,-1,-1,-1,-1,-1,1688524875.924
4288.0,-1,-1,-1,-1,-1,1688524875.924
4287.0,-1,-1,-1,-1,-1,1688524876.925
4287.0,-1,-1,-1,-1,-1,1688524876.925
4209.0,-1,-1,-1,-1,-1,1688524877.927
4209.0,-1,-1,-1,-1,-1,1688524877.927
4274.0,-1,-1,-1,-1,-1,1688524878.928
4274.0,-1,-1,-1,-1,-1,1688524878.928
4159.0,-1,-1,-1,-1,-1,1688524879.931
4159.0,-1,-1,-1,-1,-1,1688524879.931
4157.0,-1,-1,-1,-1,-1,1688524880.934
4157.0,-1,-1,-1,-1,-1,1688524880.934
4553.0,-1,-1,-1,-1,-1,1688524881.936
4553.0,-1,-1,-1,-1,-1,1688524881.936
4578.0,-1,-1,-1,-1,-1,1688524882.937
4578.0,-1,-1,-1,-1,-1,1688524882.937
4257.0,-1,-1,-1,-1,-1,1688524883.938
4257.0,-1,-1,-1,-1,-1,1688524883.938
4299.0,-1,-1,-1,-1,-1,1688524884.94
4299.0,-1,-1,-1,-1,-1,1688524884.94
