energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4491.0,-1,-1,-1,-1,-1,1688523697.868
4491.0,-1,-1,-1,-1,-1,1688523697.868
4417.0,-1,-1,-1,-1,-1,1688523698.87
4417.0,-1,-1,-1,-1,-1,1688523698.87
4378.0,-1,-1,-1,-1,-1,1688523699.871
4378.0,-1,-1,-1,-1,-1,1688523699.871
4365.0,-1,-1,-1,-1,-1,1688523700.873
4365.0,-1,-1,-1,-1,-1,1688523700.873
4365.0,-1,-1,-1,-1,-1,1688523701.874
4365.0,-1,-1,-1,-1,-1,1688523701.874
4687.0,-1,-1,-1,-1,-1,1688523702.875
4687.0,-1,-1,-1,-1,-1,1688523702.875
4689.0,-1,-1,-1,-1,-1,1688523703.878
4689.0,-1,-1,-1,-1,-1,1688523703.878
4273.0,-1,-1,-1,-1,-1,1688523704.879
4273.0,-1,-1,-1,-1,-1,1688523704.879
4275.0,-1,-1,-1,-1,-1,1688523705.882
4275.0,-1,-1,-1,-1,-1,1688523705.882
4208.0,-1,-1,-1,-1,-1,1688523706.884
4208.0,-1,-1,-1,-1,-1,1688523706.884
4380.0,-1,-1,-1,-1,-1,1688523707.885
4380.0,-1,-1,-1,-1,-1,1688523707.885
4464.0,-1,-1,-1,-1,-1,1688523708.886
4464.0,-1,-1,-1,-1,-1,1688523708.886
4272.0,-1,-1,-1,-1,-1,1688523709.887
4272.0,-1,-1,-1,-1,-1,1688523709.887
4271.0,-1,-1,-1,-1,-1,1688523710.888
4271.0,-1,-1,-1,-1,-1,1688523710.888
4495.0,-1,-1,-1,-1,-1,1688523711.889
4495.0,-1,-1,-1,-1,-1,1688523711.889
4350.0,-1,-1,-1,-1,-1,1688523712.891
4350.0,-1,-1,-1,-1,-1,1688523712.891
4733.0,-1,-1,-1,-1,-1,1688523713.893
4733.0,-1,-1,-1,-1,-1,1688523713.893
4733.0,-1,-1,-1,-1,-1,1688523714.894
4733.0,-1,-1,-1,-1,-1,1688523714.894
4252.0,-1,-1,-1,-1,-1,1688523715.896
4252.0,-1,-1,-1,-1,-1,1688523715.896
4303.0,-1,-1,-1,-1,-1,1688523716.899
4303.0,-1,-1,-1,-1,-1,1688523716.899
4470.0,-1,-1,-1,-1,-1,1688523717.901
4470.0,-1,-1,-1,-1,-1,1688523717.901
4468.0,-1,-1,-1,-1,-1,1688523718.902
4468.0,-1,-1,-1,-1,-1,1688523718.902
4262.0,-1,-1,-1,-1,-1,1688523719.904
4262.0,-1,-1,-1,-1,-1,1688523719.904
4416.0,-1,-1,-1,-1,-1,1688523720.906
4416.0,-1,-1,-1,-1,-1,1688523720.906
4288.0,-1,-1,-1,-1,-1,1688523721.907
4288.0,-1,-1,-1,-1,-1,1688523721.907
4640.0,-1,-1,-1,-1,-1,1688523722.909
4640.0,-1,-1,-1,-1,-1,1688523722.909
4735.0,-1,-1,-1,-1,-1,1688523723.91
4735.0,-1,-1,-1,-1,-1,1688523723.91
4598.0,-1,-1,-1,-1,-1,1688523724.912
4598.0,-1,-1,-1,-1,-1,1688523724.912
4599.0,-1,-1,-1,-1,-1,1688523725.913
4599.0,-1,-1,-1,-1,-1,1688523725.913
4682.0,-1,-1,-1,-1,-1,1688523726.914
4682.0,-1,-1,-1,-1,-1,1688523726.914
4693.0,-1,-1,-1,-1,-1,1688523727.915
4693.0,-1,-1,-1,-1,-1,1688523727.915
4254.0,-1,-1,-1,-1,-1,1688523728.917
4254.0,-1,-1,-1,-1,-1,1688523728.917
4258.0,-1,-1,-1,-1,-1,1688523729.918
4258.0,-1,-1,-1,-1,-1,1688523729.918
4339.0,-1,-1,-1,-1,-1,1688523730.919
4339.0,-1,-1,-1,-1,-1,1688523730.919
4455.0,-1,-1,-1,-1,-1,1688523731.921
4455.0,-1,-1,-1,-1,-1,1688523731.921
4456.0,-1,-1,-1,-1,-1,1688523732.922
