energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4299.0,-1,-1,-1,-1,-1,1688524885.941
4299.0,-1,-1,-1,-1,-1,1688524885.941
4249.0,-1,-1,-1,-1,-1,1688524886.943
4249.0,-1,-1,-1,-1,-1,1688524886.943
4355.0,-1,-1,-1,-1,-1,1688524887.944
4355.0,-1,-1,-1,-1,-1,1688524887.944
4161.0,-1,-1,-1,-1,-1,1688524888.945
4161.0,-1,-1,-1,-1,-1,1688524888.945
4162.0,-1,-1,-1,-1,-1,1688524889.947
4162.0,-1,-1,-1,-1,-1,1688524889.947
4200.0,-1,-1,-1,-1,-1,1688524890.949
4200.0,-1,-1,-1,-1,-1,1688524890.949
4376.0,-1,-1,-1,-1,-1,1688524891.951
4376.0,-1,-1,-1,-1,-1,1688524891.951
4534.0,-1,-1,-1,-1,-1,1688524892.952
4534.0,-1,-1,-1,-1,-1,1688524892.952
4663.0,-1,-1,-1,-1,-1,1688524893.954
4663.0,-1,-1,-1,-1,-1,1688524893.954
4664.0,-1,-1,-1,-1,-1,1688524894.955
4664.0,-1,-1,-1,-1,-1,1688524894.955
4379.0,-1,-1,-1,-1,-1,1688524895.956
4379.0,-1,-1,-1,-1,-1,1688524895.956
4287.0,-1,-1,-1,-1,-1,1688524896.958
4287.0,-1,-1,-1,-1,-1,1688524896.958
4373.0,-1,-1,-1,-1,-1,1688524897.959
4373.0,-1,-1,-1,-1,-1,1688524897.959
4374.0,-1,-1,-1,-1,-1,1688524898.96
4374.0,-1,-1,-1,-1,-1,1688524898.96
4395.0,-1,-1,-1,-1,-1,1688524899.963
4395.0,-1,-1,-1,-1,-1,1688524899.963
4419.0,-1,-1,-1,-1,-1,1688524900.966
4419.0,-1,-1,-1,-1,-1,1688524900.966
4414.0,-1,-1,-1,-1,-1,1688524901.968
4414.0,-1,-1,-1,-1,-1,1688524901.968
4410.0,-1,-1,-1,-1,-1,1688524902.969
4410.0,-1,-1,-1,-1,-1,1688524902.969
4455.0,-1,-1,-1,-1,-1,1688524903.971
4455.0,-1,-1,-1,-1,-1,1688524903.971
4420.0,-1,-1,-1,-1,-1,1688524904.972
4420.0,-1,-1,-1,-1,-1,1688524904.972
4555.0,-1,-1,-1,-1,-1,1688524905.973
4555.0,-1,-1,-1,-1,-1,1688524905.973
4335.0,-1,-1,-1,-1,-1,1688524906.974
4335.0,-1,-1,-1,-1,-1,1688524906.974
4337.0,-1,-1,-1,-1,-1,1688524907.976
4337.0,-1,-1,-1,-1,-1,1688524907.976
4188.0,-1,-1,-1,-1,-1,1688524908.977
4188.0,-1,-1,-1,-1,-1,1688524908.977
4262.0,-1,-1,-1,-1,-1,1688524909.979
4262.0,-1,-1,-1,-1,-1,1688524909.979
4321.0,-1,-1,-1,-1,-1,1688524910.982
4321.0,-1,-1,-1,-1,-1,1688524910.982
4320.0,-1,-1,-1,-1,-1,1688524911.984
4320.0,-1,-1,-1,-1,-1,1688524911.984
4187.0,-1,-1,-1,-1,-1,1688524912.987
4187.0,-1,-1,-1,-1,-1,1688524912.987
4507.0,-1,-1,-1,-1,-1,1688524913.99
4507.0,-1,-1,-1,-1,-1,1688524913.99
4596.0,-1,-1,-1,-1,-1,1688524914.992
4596.0,-1,-1,-1,-1,-1,1688524914.992
4484.0,-1,-1,-1,-1,-1,1688524915.993
4484.0,-1,-1,-1,-1,-1,1688524915.993
4482.0,-1,-1,-1,-1,-1,1688524916.996
4482.0,-1,-1,-1,-1,-1,1688524916.996
4600.0,-1,-1,-1,-1,-1,1688524917.998
4600.0,-1,-1,-1,-1,-1,1688524917.998
4559.0,-1,-1,-1,-1,-1,1688524918.999
4559.0,-1,-1,-1,-1,-1,1688524918.999
4578.0,-1,-1,-1,-1,-1,1688524920.001
4578.0,-1,-1,-1,-1,-1,1688524920.001
4580.0,-1,-1,-1,-1,-1,1688524921.002
4580.0,-1,-1,-1,-1,-1,1688524921.002
4334.0,-1,-1,-1,-1,-1,1688524922.005
4334.0,-1,-1,-1,-1,-1,1688524922.005
4143.0,-1,-1,-1,-1,-1,1688524923.006
4143.0,-1,-1,-1,-1,-1,1688524923.006
4591.0,-1,-1,-1,-1,-1,1688524924.007
4591.0,-1,-1,-1,-1,-1,1688524924.007
4587.0,-1,-1,-1,-1,-1,1688524925.011
4587.0,-1,-1,-1,-1,-1,1688524925.011
4588.0,-1,-1,-1,-1,-1,1688524926.015
4588.0,-1,-1,-1,-1,-1,1688524926.015
4487.0,-1,-1,-1,-1,-1,1688524927.017
4487.0,-1,-1,-1,-1,-1,1688524927.017
4336.0,-1,-1,-1,-1,-1,1688524928.019
4336.0,-1,-1,-1,-1,-1,1688524928.019
4306.0,-1,-1,-1,-1,-1,1688524929.021
4306.0,-1,-1,-1,-1,-1,1688524929.021
