energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4511.0,-1,-1,-1,-1,-1,1688526174.645
4511.0,-1,-1,-1,-1,-1,1688526174.645
4514.0,-1,-1,-1,-1,-1,1688526175.647
4514.0,-1,-1,-1,-1,-1,1688526175.647
4263.0,-1,-1,-1,-1,-1,1688526176.65
4263.0,-1,-1,-1,-1,-1,1688526176.65
4193.0,-1,-1,-1,-1,-1,1688526177.652
4193.0,-1,-1,-1,-1,-1,1688526177.652
4228.0,-1,-1,-1,-1,-1,1688526178.654
4228.0,-1,-1,-1,-1,-1,1688526178.654
4217.0,-1,-1,-1,-1,-1,1688526179.656
4217.0,-1,-1,-1,-1,-1,1688526179.656
4218.0,-1,-1,-1,-1,-1,1688526180.658
4218.0,-1,-1,-1,-1,-1,1688526180.658
4256.0,-1,-1,-1,-1,-1,1688526181.659
4256.0,-1,-1,-1,-1,-1,1688526181.659
4275.0,-1,-1,-1,-1,-1,1688526182.662
4275.0,-1,-1,-1,-1,-1,1688526182.662
4369.0,-1,-1,-1,-1,-1,1688526183.664
4369.0,-1,-1,-1,-1,-1,1688526183.664
4367.0,-1,-1,-1,-1,-1,1688526184.666
4367.0,-1,-1,-1,-1,-1,1688526184.666
4512.0,-1,-1,-1,-1,-1,1688526185.669
4512.0,-1,-1,-1,-1,-1,1688526185.669
4227.0,-1,-1,-1,-1,-1,1688526186.671
4227.0,-1,-1,-1,-1,-1,1688526186.671
4245.0,-1,-1,-1,-1,-1,1688526187.672
4245.0,-1,-1,-1,-1,-1,1688526187.672
4244.0,-1,-1,-1,-1,-1,1688526188.674
4244.0,-1,-1,-1,-1,-1,1688526188.674
3981.0,-1,-1,-1,-1,-1,1688526189.675
3981.0,-1,-1,-1,-1,-1,1688526189.675
4253.0,-1,-1,-1,-1,-1,1688526190.677
4253.0,-1,-1,-1,-1,-1,1688526190.677
4193.0,-1,-1,-1,-1,-1,1688526191.679
4193.0,-1,-1,-1,-1,-1,1688526191.679
4311.0,-1,-1,-1,-1,-1,1688526192.68
4311.0,-1,-1,-1,-1,-1,1688526192.68
4310.0,-1,-1,-1,-1,-1,1688526193.681
4310.0,-1,-1,-1,-1,-1,1688526193.681
4247.0,-1,-1,-1,-1,-1,1688526194.683
4247.0,-1,-1,-1,-1,-1,1688526194.683
4528.0,-1,-1,-1,-1,-1,1688526195.685
4528.0,-1,-1,-1,-1,-1,1688526195.685
4543.0,-1,-1,-1,-1,-1,1688526196.687
4543.0,-1,-1,-1,-1,-1,1688526196.687
4546.0,-1,-1,-1,-1,-1,1688526197.689
4546.0,-1,-1,-1,-1,-1,1688526197.689
