energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4719.0,-1,-1,-1,-1,-1,1688526590.862
4719.0,-1,-1,-1,-1,-1,1688526590.862
4741.0,-1,-1,-1,-1,-1,1688526591.865
4741.0,-1,-1,-1,-1,-1,1688526591.865
4409.0,-1,-1,-1,-1,-1,1688526592.867
4409.0,-1,-1,-1,-1,-1,1688526592.867
4429.0,-1,-1,-1,-1,-1,1688526593.87
4429.0,-1,-1,-1,-1,-1,1688526593.87
4433.0,-1,-1,-1,-1,-1,1688526594.872
4433.0,-1,-1,-1,-1,-1,1688526594.872
4298.0,-1,-1,-1,-1,-1,1688526595.874
4298.0,-1,-1,-1,-1,-1,1688526595.874
4363.0,-1,-1,-1,-1,-1,1688526596.877
4363.0,-1,-1,-1,-1,-1,1688526596.877
4268.0,-1,-1,-1,-1,-1,1688526597.879
4268.0,-1,-1,-1,-1,-1,1688526597.879
4258.0,-1,-1,-1,-1,-1,1688526598.882
4258.0,-1,-1,-1,-1,-1,1688526598.882
4258.0,-1,-1,-1,-1,-1,1688526599.884
4258.0,-1,-1,-1,-1,-1,1688526599.884
4083.0,-1,-1,-1,-1,-1,1688526600.887
4083.0,-1,-1,-1,-1,-1,1688526600.887
4643.0,-1,-1,-1,-1,-1,1688526601.889
4643.0,-1,-1,-1,-1,-1,1688526601.889
4395.0,-1,-1,-1,-1,-1,1688526602.892
4395.0,-1,-1,-1,-1,-1,1688526602.892
4393.0,-1,-1,-1,-1,-1,1688526603.894
4393.0,-1,-1,-1,-1,-1,1688526603.894
4182.0,-1,-1,-1,-1,-1,1688526604.897
4182.0,-1,-1,-1,-1,-1,1688526604.897
4293.0,-1,-1,-1,-1,-1,1688526605.9
4293.0,-1,-1,-1,-1,-1,1688526605.9
4456.0,-1,-1,-1,-1,-1,1688526606.902
4456.0,-1,-1,-1,-1,-1,1688526606.902
4235.0,-1,-1,-1,-1,-1,1688526607.904
4235.0,-1,-1,-1,-1,-1,1688526607.904
4233.0,-1,-1,-1,-1,-1,1688526608.907
4233.0,-1,-1,-1,-1,-1,1688526608.907
4425.0,-1,-1,-1,-1,-1,1688526609.909
4425.0,-1,-1,-1,-1,-1,1688526609.909
4333.0,-1,-1,-1,-1,-1,1688526610.911
4333.0,-1,-1,-1,-1,-1,1688526610.911
4609.0,-1,-1,-1,-1,-1,1688526611.914
4609.0,-1,-1,-1,-1,-1,1688526611.914
4647.0,-1,-1,-1,-1,-1,1688526612.916
4647.0,-1,-1,-1,-1,-1,1688526612.916
4207.0,-1,-1,-1,-1,-1,1688526613.919
4207.0,-1,-1,-1,-1,-1,1688526613.919
4210.0,-1,-1,-1,-1,-1,1688526614.921
4210.0,-1,-1,-1,-1,-1,1688526614.921
4379.0,-1,-1,-1,-1,-1,1688526615.923
4379.0,-1,-1,-1,-1,-1,1688526615.923
4331.0,-1,-1,-1,-1,-1,1688526616.926
4331.0,-1,-1,-1,-1,-1,1688526616.926
4440.0,-1,-1,-1,-1,-1,1688526617.928
4440.0,-1,-1,-1,-1,-1,1688526617.928
4438.0,-1,-1,-1,-1,-1,1688526618.93
4438.0,-1,-1,-1,-1,-1,1688526618.93
4440.0,-1,-1,-1,-1,-1,1688526619.932
4440.0,-1,-1,-1,-1,-1,1688526619.932
4250.0,-1,-1,-1,-1,-1,1688526620.935
4250.0,-1,-1,-1,-1,-1,1688526620.935
4558.0,-1,-1,-1,-1,-1,1688526621.936
4558.0,-1,-1,-1,-1,-1,1688526621.936
4603.0,-1,-1,-1,-1,-1,1688526622.938
4603.0,-1,-1,-1,-1,-1,1688526622.938
4603.0,-1,-1,-1,-1,-1,1688526623.94
4603.0,-1,-1,-1,-1,-1,1688526623.94
4314.0,-1,-1,-1,-1,-1,1688526624.943
4314.0,-1,-1,-1,-1,-1,1688526624.943
4264.0,-1,-1,-1,-1,-1,1688526625.945
4264.0,-1,-1,-1,-1,-1,1688526625.945
4359.0,-1,-1,-1,-1,-1,1688526626.948
4359.0,-1,-1,-1,-1,-1,1688526626.948
4360.0,-1,-1,-1,-1,-1,1688526627.95
4360.0,-1,-1,-1,-1,-1,1688526627.95
4102.0,-1,-1,-1,-1,-1,1688526628.953
4102.0,-1,-1,-1,-1,-1,1688526628.953
4360.0,-1,-1,-1,-1,-1,1688526629.955
4360.0,-1,-1,-1,-1,-1,1688526629.955
4385.0,-1,-1,-1,-1,-1,1688526630.958
4385.0,-1,-1,-1,-1,-1,1688526630.958
4384.0,-1,-1,-1,-1,-1,1688526631.96
4384.0,-1,-1,-1,-1,-1,1688526631.96
4212.0,-1,-1,-1,-1,-1,1688526632.963
4212.0,-1,-1,-1,-1,-1,1688526632.963
4558.0,-1,-1,-1,-1,-1,1688526633.965
4558.0,-1,-1,-1,-1,-1,1688526633.965
4476.0,-1,-1,-1,-1,-1,1688526634.967
4476.0,-1,-1,-1,-1,-1,1688526634.967
4387.0,-1,-1,-1,-1,-1,1688526635.97
4387.0,-1,-1,-1,-1,-1,1688526635.97
4387.0,-1,-1,-1,-1,-1,1688526636.971
4387.0,-1,-1,-1,-1,-1,1688526636.971
4199.0,-1,-1,-1,-1,-1,1688526637.973
