energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4673.0,-1,-1,-1,-1,-1,1688524216.772
4673.0,-1,-1,-1,-1,-1,1688524216.772
4675.0,-1,-1,-1,-1,-1,1688524217.796
4675.0,-1,-1,-1,-1,-1,1688524217.796
4322.0,-1,-1,-1,-1,-1,1688524218.797
4322.0,-1,-1,-1,-1,-1,1688524218.797
4422.0,-1,-1,-1,-1,-1,1688524219.798
4422.0,-1,-1,-1,-1,-1,1688524219.798
4489.0,-1,-1,-1,-1,-1,1688524220.799
4489.0,-1,-1,-1,-1,-1,1688524220.799
4490.0,-1,-1,-1,-1,-1,1688524221.8
4490.0,-1,-1,-1,-1,-1,1688524221.8
4114.0,-1,-1,-1,-1,-1,1688524222.802
4114.0,-1,-1,-1,-1,-1,1688524222.802
4497.0,-1,-1,-1,-1,-1,1688524223.803
4497.0,-1,-1,-1,-1,-1,1688524223.803
4349.0,-1,-1,-1,-1,-1,1688524224.804
4349.0,-1,-1,-1,-1,-1,1688524224.804
4748.0,-1,-1,-1,-1,-1,1688524225.806
4748.0,-1,-1,-1,-1,-1,1688524225.806
4748.0,-1,-1,-1,-1,-1,1688524226.809
4748.0,-1,-1,-1,-1,-1,1688524226.809
4665.0,-1,-1,-1,-1,-1,1688524227.81
4665.0,-1,-1,-1,-1,-1,1688524227.81
4401.0,-1,-1,-1,-1,-1,1688524228.811
4401.0,-1,-1,-1,-1,-1,1688524228.811
4455.0,-1,-1,-1,-1,-1,1688524229.812
4455.0,-1,-1,-1,-1,-1,1688524229.812
4451.0,-1,-1,-1,-1,-1,1688524230.813
4451.0,-1,-1,-1,-1,-1,1688524230.813
4450.0,-1,-1,-1,-1,-1,1688524231.814
4450.0,-1,-1,-1,-1,-1,1688524231.814
4450.0,-1,-1,-1,-1,-1,1688524232.815
4450.0,-1,-1,-1,-1,-1,1688524232.815
4502.0,-1,-1,-1,-1,-1,1688524233.817
4502.0,-1,-1,-1,-1,-1,1688524233.817
4502.0,-1,-1,-1,-1,-1,1688524234.818
4502.0,-1,-1,-1,-1,-1,1688524234.818
4394.0,-1,-1,-1,-1,-1,1688524235.819
4394.0,-1,-1,-1,-1,-1,1688524235.819
4250.0,-1,-1,-1,-1,-1,1688524236.82
4250.0,-1,-1,-1,-1,-1,1688524236.82
4690.0,-1,-1,-1,-1,-1,1688524237.821
4690.0,-1,-1,-1,-1,-1,1688524237.821
4731.0,-1,-1,-1,-1,-1,1688524238.823
4731.0,-1,-1,-1,-1,-1,1688524238.823
4733.0,-1,-1,-1,-1,-1,1688524239.825
