energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4331.0,-1,-1,-1,-1,-1,1688523126.919
4331.0,-1,-1,-1,-1,-1,1688523126.919
4238.0,-1,-1,-1,-1,-1,1688523127.921
4238.0,-1,-1,-1,-1,-1,1688523127.921
4239.0,-1,-1,-1,-1,-1,1688523128.922
4239.0,-1,-1,-1,-1,-1,1688523128.922
4240.0,-1,-1,-1,-1,-1,1688523129.924
4240.0,-1,-1,-1,-1,-1,1688523129.924
4371.0,-1,-1,-1,-1,-1,1688523130.925
4371.0,-1,-1,-1,-1,-1,1688523130.925
4478.0,-1,-1,-1,-1,-1,1688523131.926
4478.0,-1,-1,-1,-1,-1,1688523131.926
4258.0,-1,-1,-1,-1,-1,1688523132.928
4258.0,-1,-1,-1,-1,-1,1688523132.928
4385.0,-1,-1,-1,-1,-1,1688523133.932
4385.0,-1,-1,-1,-1,-1,1688523133.932
4384.0,-1,-1,-1,-1,-1,1688523134.935
4384.0,-1,-1,-1,-1,-1,1688523134.935
4273.0,-1,-1,-1,-1,-1,1688523135.937
4273.0,-1,-1,-1,-1,-1,1688523135.937
4278.0,-1,-1,-1,-1,-1,1688523136.939
4278.0,-1,-1,-1,-1,-1,1688523136.939
4318.0,-1,-1,-1,-1,-1,1688523137.94
4318.0,-1,-1,-1,-1,-1,1688523137.94
4319.0,-1,-1,-1,-1,-1,1688523138.941
4319.0,-1,-1,-1,-1,-1,1688523138.941
4203.0,-1,-1,-1,-1,-1,1688523139.944
4203.0,-1,-1,-1,-1,-1,1688523139.944
4300.0,-1,-1,-1,-1,-1,1688523140.946
4300.0,-1,-1,-1,-1,-1,1688523140.946
4574.0,-1,-1,-1,-1,-1,1688523141.949
4574.0,-1,-1,-1,-1,-1,1688523141.949
4311.0,-1,-1,-1,-1,-1,1688523142.952
4311.0,-1,-1,-1,-1,-1,1688523142.952
4314.0,-1,-1,-1,-1,-1,1688523143.954
4314.0,-1,-1,-1,-1,-1,1688523143.954
4308.0,-1,-1,-1,-1,-1,1688523144.957
4308.0,-1,-1,-1,-1,-1,1688523144.957
4307.0,-1,-1,-1,-1,-1,1688523145.959
