energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4474.0,-1,-1,-1,-1,-1,1688525652.413
4474.0,-1,-1,-1,-1,-1,1688525652.413
4385.0,-1,-1,-1,-1,-1,1688525653.415
4385.0,-1,-1,-1,-1,-1,1688525653.415
4372.0,-1,-1,-1,-1,-1,1688525654.417
4372.0,-1,-1,-1,-1,-1,1688525654.417
4371.0,-1,-1,-1,-1,-1,1688525655.419
4371.0,-1,-1,-1,-1,-1,1688525655.419
4348.0,-1,-1,-1,-1,-1,1688525656.421
4348.0,-1,-1,-1,-1,-1,1688525656.421
4484.0,-1,-1,-1,-1,-1,1688525657.422
4484.0,-1,-1,-1,-1,-1,1688525657.422
4720.0,-1,-1,-1,-1,-1,1688525658.424
4720.0,-1,-1,-1,-1,-1,1688525658.424
4718.0,-1,-1,-1,-1,-1,1688525659.426
4718.0,-1,-1,-1,-1,-1,1688525659.426
4712.0,-1,-1,-1,-1,-1,1688525660.428
4712.0,-1,-1,-1,-1,-1,1688525660.428
4354.0,-1,-1,-1,-1,-1,1688525661.429
4354.0,-1,-1,-1,-1,-1,1688525661.429
3987.0,-1,-1,-1,-1,-1,1688525662.431
3987.0,-1,-1,-1,-1,-1,1688525662.431
4273.0,-1,-1,-1,-1,-1,1688525663.434
4273.0,-1,-1,-1,-1,-1,1688525663.434
4270.0,-1,-1,-1,-1,-1,1688525664.436
4270.0,-1,-1,-1,-1,-1,1688525664.436
4489.0,-1,-1,-1,-1,-1,1688525665.438
4489.0,-1,-1,-1,-1,-1,1688525665.438
4489.0,-1,-1,-1,-1,-1,1688525666.44
4489.0,-1,-1,-1,-1,-1,1688525666.44
4447.0,-1,-1,-1,-1,-1,1688525667.443
4447.0,-1,-1,-1,-1,-1,1688525667.443
4445.0,-1,-1,-1,-1,-1,1688525668.445
4445.0,-1,-1,-1,-1,-1,1688525668.445
4681.0,-1,-1,-1,-1,-1,1688525669.448
4681.0,-1,-1,-1,-1,-1,1688525669.448
4721.0,-1,-1,-1,-1,-1,1688525670.45
4721.0,-1,-1,-1,-1,-1,1688525670.45
4487.0,-1,-1,-1,-1,-1,1688525671.452
4487.0,-1,-1,-1,-1,-1,1688525671.452
4487.0,-1,-1,-1,-1,-1,1688525672.454
4487.0,-1,-1,-1,-1,-1,1688525672.454
4487.0,-1,-1,-1,-1,-1,1688525673.456
4487.0,-1,-1,-1,-1,-1,1688525673.456
4435.0,-1,-1,-1,-1,-1,1688525674.458
4435.0,-1,-1,-1,-1,-1,1688525674.458
4333.0,-1,-1,-1,-1,-1,1688525675.461
4333.0,-1,-1,-1,-1,-1,1688525675.461
4367.0,-1,-1,-1,-1,-1,1688525676.463
4367.0,-1,-1,-1,-1,-1,1688525676.463
4367.0,-1,-1,-1,-1,-1,1688525677.465
4367.0,-1,-1,-1,-1,-1,1688525677.465
4426.0,-1,-1,-1,-1,-1,1688525678.466
4426.0,-1,-1,-1,-1,-1,1688525678.466
4524.0,-1,-1,-1,-1,-1,1688525679.467
4524.0,-1,-1,-1,-1,-1,1688525679.467
4424.0,-1,-1,-1,-1,-1,1688525680.469
4424.0,-1,-1,-1,-1,-1,1688525680.469
4424.0,-1,-1,-1,-1,-1,1688525681.471
4424.0,-1,-1,-1,-1,-1,1688525681.471
4583.0,-1,-1,-1,-1,-1,1688525682.473
4583.0,-1,-1,-1,-1,-1,1688525682.473
4472.0,-1,-1,-1,-1,-1,1688525683.475
4472.0,-1,-1,-1,-1,-1,1688525683.475
4481.0,-1,-1,-1,-1,-1,1688525684.476
4481.0,-1,-1,-1,-1,-1,1688525684.476
4454.0,-1,-1,-1,-1,-1,1688525685.479
4454.0,-1,-1,-1,-1,-1,1688525685.479
