energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4707.0,-1,-1,-1,-1,-1,1688526689.087
4707.0,-1,-1,-1,-1,-1,1688526689.087
4708.0,-1,-1,-1,-1,-1,1688526690.089
4708.0,-1,-1,-1,-1,-1,1688526690.089
4409.0,-1,-1,-1,-1,-1,1688526691.091
4409.0,-1,-1,-1,-1,-1,1688526691.091
4380.0,-1,-1,-1,-1,-1,1688526692.093
4380.0,-1,-1,-1,-1,-1,1688526692.093
4287.0,-1,-1,-1,-1,-1,1688526693.095
4287.0,-1,-1,-1,-1,-1,1688526693.095
4285.0,-1,-1,-1,-1,-1,1688526694.096
4285.0,-1,-1,-1,-1,-1,1688526694.096
4099.0,-1,-1,-1,-1,-1,1688526695.098
4099.0,-1,-1,-1,-1,-1,1688526695.098
4316.0,-1,-1,-1,-1,-1,1688526696.1
4316.0,-1,-1,-1,-1,-1,1688526696.1
3998.0,-1,-1,-1,-1,-1,1688526697.102
3998.0,-1,-1,-1,-1,-1,1688526697.102
3998.0,-1,-1,-1,-1,-1,1688526698.103
3998.0,-1,-1,-1,-1,-1,1688526698.103
4386.0,-1,-1,-1,-1,-1,1688526699.104
4386.0,-1,-1,-1,-1,-1,1688526699.104
4703.0,-1,-1,-1,-1,-1,1688526700.106
4703.0,-1,-1,-1,-1,-1,1688526700.106
4604.0,-1,-1,-1,-1,-1,1688526701.107
4604.0,-1,-1,-1,-1,-1,1688526701.107
4288.0,-1,-1,-1,-1,-1,1688526702.108
4288.0,-1,-1,-1,-1,-1,1688526702.108
4285.0,-1,-1,-1,-1,-1,1688526703.109
4285.0,-1,-1,-1,-1,-1,1688526703.109
4425.0,-1,-1,-1,-1,-1,1688526704.111
4425.0,-1,-1,-1,-1,-1,1688526704.111
4273.0,-1,-1,-1,-1,-1,1688526705.113
4273.0,-1,-1,-1,-1,-1,1688526705.113
4221.0,-1,-1,-1,-1,-1,1688526706.114
4221.0,-1,-1,-1,-1,-1,1688526706.114
4223.0,-1,-1,-1,-1,-1,1688526707.115
4223.0,-1,-1,-1,-1,-1,1688526707.115
4239.0,-1,-1,-1,-1,-1,1688526708.117
4239.0,-1,-1,-1,-1,-1,1688526708.117
4211.0,-1,-1,-1,-1,-1,1688526709.118
