energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4299.0,-1,-1,-1,-1,-1,1688523193.046
4299.0,-1,-1,-1,-1,-1,1688523193.046
4251.0,-1,-1,-1,-1,-1,1688523194.048
4251.0,-1,-1,-1,-1,-1,1688523194.048
4175.0,-1,-1,-1,-1,-1,1688523195.05
4175.0,-1,-1,-1,-1,-1,1688523195.05
4173.0,-1,-1,-1,-1,-1,1688523196.051
4173.0,-1,-1,-1,-1,-1,1688523196.051
4495.0,-1,-1,-1,-1,-1,1688523197.053
4495.0,-1,-1,-1,-1,-1,1688523197.053
4555.0,-1,-1,-1,-1,-1,1688523198.055
4555.0,-1,-1,-1,-1,-1,1688523198.055
4154.0,-1,-1,-1,-1,-1,1688523199.058
4154.0,-1,-1,-1,-1,-1,1688523199.058
4250.0,-1,-1,-1,-1,-1,1688523200.06
4250.0,-1,-1,-1,-1,-1,1688523200.06
4249.0,-1,-1,-1,-1,-1,1688523201.061
4249.0,-1,-1,-1,-1,-1,1688523201.061
4345.0,-1,-1,-1,-1,-1,1688523202.062
4345.0,-1,-1,-1,-1,-1,1688523202.062
4298.0,-1,-1,-1,-1,-1,1688523203.065
4298.0,-1,-1,-1,-1,-1,1688523203.065
4371.0,-1,-1,-1,-1,-1,1688523204.067
4371.0,-1,-1,-1,-1,-1,1688523204.067
4372.0,-1,-1,-1,-1,-1,1688523205.069
4372.0,-1,-1,-1,-1,-1,1688523205.069
4381.0,-1,-1,-1,-1,-1,1688523206.071
4381.0,-1,-1,-1,-1,-1,1688523206.071
4447.0,-1,-1,-1,-1,-1,1688523207.073
4447.0,-1,-1,-1,-1,-1,1688523207.073
4470.0,-1,-1,-1,-1,-1,1688523208.075
4470.0,-1,-1,-1,-1,-1,1688523208.075
4666.0,-1,-1,-1,-1,-1,1688523209.076
4666.0,-1,-1,-1,-1,-1,1688523209.076
4669.0,-1,-1,-1,-1,-1,1688523210.077
4669.0,-1,-1,-1,-1,-1,1688523210.077
4388.0,-1,-1,-1,-1,-1,1688523211.079
4388.0,-1,-1,-1,-1,-1,1688523211.079
4386.0,-1,-1,-1,-1,-1,1688523212.084
4386.0,-1,-1,-1,-1,-1,1688523212.084
4411.0,-1,-1,-1,-1,-1,1688523213.086
4411.0,-1,-1,-1,-1,-1,1688523213.086
4410.0,-1,-1,-1,-1,-1,1688523214.088
