energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4434.0,-1,-1,-1,-1,-1,1688525821.754
4434.0,-1,-1,-1,-1,-1,1688525821.754
4434.0,-1,-1,-1,-1,-1,1688525822.756
4434.0,-1,-1,-1,-1,-1,1688525822.756
4099.0,-1,-1,-1,-1,-1,1688525823.758
4099.0,-1,-1,-1,-1,-1,1688525823.758
4729.0,-1,-1,-1,-1,-1,1688525824.761
4729.0,-1,-1,-1,-1,-1,1688525824.761
4691.0,-1,-1,-1,-1,-1,1688525825.763
4691.0,-1,-1,-1,-1,-1,1688525825.763
4498.0,-1,-1,-1,-1,-1,1688525826.765
4498.0,-1,-1,-1,-1,-1,1688525826.765
4500.0,-1,-1,-1,-1,-1,1688525827.768
4500.0,-1,-1,-1,-1,-1,1688525827.768
4028.0,-1,-1,-1,-1,-1,1688525828.77
4028.0,-1,-1,-1,-1,-1,1688525828.77
4176.0,-1,-1,-1,-1,-1,1688525829.772
4176.0,-1,-1,-1,-1,-1,1688525829.772
4369.0,-1,-1,-1,-1,-1,1688525830.775
4369.0,-1,-1,-1,-1,-1,1688525830.775
4369.0,-1,-1,-1,-1,-1,1688525831.777
4369.0,-1,-1,-1,-1,-1,1688525831.777
4045.0,-1,-1,-1,-1,-1,1688525832.779
4045.0,-1,-1,-1,-1,-1,1688525832.779
4184.0,-1,-1,-1,-1,-1,1688525833.782
4184.0,-1,-1,-1,-1,-1,1688525833.782
4575.0,-1,-1,-1,-1,-1,1688525834.784
4575.0,-1,-1,-1,-1,-1,1688525834.784
4700.0,-1,-1,-1,-1,-1,1688525835.787
4700.0,-1,-1,-1,-1,-1,1688525835.787
4700.0,-1,-1,-1,-1,-1,1688525836.789
4700.0,-1,-1,-1,-1,-1,1688525836.789
4753.0,-1,-1,-1,-1,-1,1688525837.791
4753.0,-1,-1,-1,-1,-1,1688525837.791
4479.0,-1,-1,-1,-1,-1,1688525838.792
4479.0,-1,-1,-1,-1,-1,1688525838.792
4415.0,-1,-1,-1,-1,-1,1688525839.794
4415.0,-1,-1,-1,-1,-1,1688525839.794
4414.0,-1,-1,-1,-1,-1,1688525840.796
4414.0,-1,-1,-1,-1,-1,1688525840.796
4382.0,-1,-1,-1,-1,-1,1688525841.798
4382.0,-1,-1,-1,-1,-1,1688525841.798
4425.0,-1,-1,-1,-1,-1,1688525842.8
4425.0,-1,-1,-1,-1,-1,1688525842.8
4328.0,-1,-1,-1,-1,-1,1688525843.803
4328.0,-1,-1,-1,-1,-1,1688525843.803
4463.0,-1,-1,-1,-1,-1,1688525844.805
4463.0,-1,-1,-1,-1,-1,1688525844.805
4463.0,-1,-1,-1,-1,-1,1688525845.808
4463.0,-1,-1,-1,-1,-1,1688525845.808
4463.0,-1,-1,-1,-1,-1,1688525845.808
4670.0,-1,-1,-1,-1,-1,1688525846.81
4670.0,-1,-1,-1,-1,-1,1688525846.81
4772.0,-1,-1,-1,-1,-1,1688525847.813
4772.0,-1,-1,-1,-1,-1,1688525847.813
4451.0,-1,-1,-1,-1,-1,1688525848.815
4451.0,-1,-1,-1,-1,-1,1688525848.815
4455.0,-1,-1,-1,-1,-1,1688525849.816
4455.0,-1,-1,-1,-1,-1,1688525849.816
4247.0,-1,-1,-1,-1,-1,1688525850.818
4247.0,-1,-1,-1,-1,-1,1688525850.818
4356.0,-1,-1,-1,-1,-1,1688525851.82
4356.0,-1,-1,-1,-1,-1,1688525851.82
4338.0,-1,-1,-1,-1,-1,1688525852.822
4338.0,-1,-1,-1,-1,-1,1688525852.822
4338.0,-1,-1,-1,-1,-1,1688525853.824
4338.0,-1,-1,-1,-1,-1,1688525853.824
4503.0,-1,-1,-1,-1,-1,1688525854.827
4503.0,-1,-1,-1,-1,-1,1688525854.827
4479.0,-1,-1,-1,-1,-1,1688525855.829
4479.0,-1,-1,-1,-1,-1,1688525855.829
4460.0,-1,-1,-1,-1,-1,1688525856.832
4460.0,-1,-1,-1,-1,-1,1688525856.832
4749.0,-1,-1,-1,-1,-1,1688525857.834
4749.0,-1,-1,-1,-1,-1,1688525857.834
4748.0,-1,-1,-1,-1,-1,1688525858.836
4748.0,-1,-1,-1,-1,-1,1688525858.836
4719.0,-1,-1,-1,-1,-1,1688525859.838
4719.0,-1,-1,-1,-1,-1,1688525859.838
4480.0,-1,-1,-1,-1,-1,1688525860.84
4480.0,-1,-1,-1,-1,-1,1688525860.84
4391.0,-1,-1,-1,-1,-1,1688525861.842
4391.0,-1,-1,-1,-1,-1,1688525861.842
4390.0,-1,-1,-1,-1,-1,1688525862.844
4390.0,-1,-1,-1,-1,-1,1688525862.844
4516.0,-1,-1,-1,-1,-1,1688525863.847
4516.0,-1,-1,-1,-1,-1,1688525863.847
4461.0,-1,-1,-1,-1,-1,1688525864.849
4461.0,-1,-1,-1,-1,-1,1688525864.849
4133.0,-1,-1,-1,-1,-1,1688525865.851
4133.0,-1,-1,-1,-1,-1,1688525865.851
4376.0,-1,-1,-1,-1,-1,1688525866.854
4376.0,-1,-1,-1,-1,-1,1688525866.854
4375.0,-1,-1,-1,-1,-1,1688525867.856
4375.0,-1,-1,-1,-1,-1,1688525867.856
4365.0,-1,-1,-1,-1,-1,1688525868.859
4365.0,-1,-1,-1,-1,-1,1688525868.859
4660.0,-1,-1,-1,-1,-1,1688525869.861
4660.0,-1,-1,-1,-1,-1,1688525869.861
4558.0,-1,-1,-1,-1,-1,1688525870.864
4558.0,-1,-1,-1,-1,-1,1688525870.864
4561.0,-1,-1,-1,-1,-1,1688525871.866
4561.0,-1,-1,-1,-1,-1,1688525871.866
4350.0,-1,-1,-1,-1,-1,1688525872.868
4350.0,-1,-1,-1,-1,-1,1688525872.868
4476.0,-1,-1,-1,-1,-1,1688525873.871
4476.0,-1,-1,-1,-1,-1,1688525873.871
4447.0,-1,-1,-1,-1,-1,1688525874.873
4447.0,-1,-1,-1,-1,-1,1688525874.873
4445.0,-1,-1,-1,-1,-1,1688525875.875
4445.0,-1,-1,-1,-1,-1,1688525875.875
4432.0,-1,-1,-1,-1,-1,1688525876.878
4432.0,-1,-1,-1,-1,-1,1688525876.878
4476.0,-1,-1,-1,-1,-1,1688525877.88
4476.0,-1,-1,-1,-1,-1,1688525877.88
4470.0,-1,-1,-1,-1,-1,1688525878.881
4470.0,-1,-1,-1,-1,-1,1688525878.881
4595.0,-1,-1,-1,-1,-1,1688525879.883
4595.0,-1,-1,-1,-1,-1,1688525879.883
4594.0,-1,-1,-1,-1,-1,1688525880.884
4594.0,-1,-1,-1,-1,-1,1688525880.884
4500.0,-1,-1,-1,-1,-1,1688525881.886
4500.0,-1,-1,-1,-1,-1,1688525881.886
4391.0,-1,-1,-1,-1,-1,1688525882.888
4391.0,-1,-1,-1,-1,-1,1688525882.888
4475.0,-1,-1,-1,-1,-1,1688525883.891
4475.0,-1,-1,-1,-1,-1,1688525883.891
4474.0,-1,-1,-1,-1,-1,1688525884.894
4474.0,-1,-1,-1,-1,-1,1688525884.894
4489.0,-1,-1,-1,-1,-1,1688525885.896
4489.0,-1,-1,-1,-1,-1,1688525885.896
4459.0,-1,-1,-1,-1,-1,1688525886.898
4459.0,-1,-1,-1,-1,-1,1688525886.898
4316.0,-1,-1,-1,-1,-1,1688525887.9
4316.0,-1,-1,-1,-1,-1,1688525887.9
4487.0,-1,-1,-1,-1,-1,1688525888.902
4487.0,-1,-1,-1,-1,-1,1688525888.902
4488.0,-1,-1,-1,-1,-1,1688525889.903
4488.0,-1,-1,-1,-1,-1,1688525889.903
4138.0,-1,-1,-1,-1,-1,1688525890.905
4138.0,-1,-1,-1,-1,-1,1688525890.905
4745.0,-1,-1,-1,-1,-1,1688525891.907
4745.0,-1,-1,-1,-1,-1,1688525891.907
4707.0,-1,-1,-1,-1,-1,1688525892.91
4707.0,-1,-1,-1,-1,-1,1688525892.91
4427.0,-1,-1,-1,-1,-1,1688525893.912
4427.0,-1,-1,-1,-1,-1,1688525893.912
4699.0,-1,-1,-1,-1,-1,1688525894.914
4699.0,-1,-1,-1,-1,-1,1688525894.914
4699.0,-1,-1,-1,-1,-1,1688525895.916
4699.0,-1,-1,-1,-1,-1,1688525895.916
4267.0,-1,-1,-1,-1,-1,1688525896.917
4267.0,-1,-1,-1,-1,-1,1688525896.917
4472.0,-1,-1,-1,-1,-1,1688525897.918
4472.0,-1,-1,-1,-1,-1,1688525897.918
4497.0,-1,-1,-1,-1,-1,1688525898.919
4497.0,-1,-1,-1,-1,-1,1688525898.919
4495.0,-1,-1,-1,-1,-1,1688525899.92
4495.0,-1,-1,-1,-1,-1,1688525899.92
4342.0,-1,-1,-1,-1,-1,1688525900.922
4342.0,-1,-1,-1,-1,-1,1688525900.922
4592.0,-1,-1,-1,-1,-1,1688525901.924
4592.0,-1,-1,-1,-1,-1,1688525901.924
4721.0,-1,-1,-1,-1,-1,1688525902.927
4721.0,-1,-1,-1,-1,-1,1688525902.927
4382.0,-1,-1,-1,-1,-1,1688525903.928
4382.0,-1,-1,-1,-1,-1,1688525903.928
4382.0,-1,-1,-1,-1,-1,1688525904.93
