energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
4455.0,-1,-1,-1,-1,-1,1688526251.777
4455.0,-1,-1,-1,-1,-1,1688526251.777
4495.0,-1,-1,-1,-1,-1,1688526252.778
4495.0,-1,-1,-1,-1,-1,1688526252.778
4101.0,-1,-1,-1,-1,-1,1688526253.78
4101.0,-1,-1,-1,-1,-1,1688526253.78
4132.0,-1,-1,-1,-1,-1,1688526254.781
4132.0,-1,-1,-1,-1,-1,1688526254.781
4131.0,-1,-1,-1,-1,-1,1688526255.783
4131.0,-1,-1,-1,-1,-1,1688526255.783
4106.0,-1,-1,-1,-1,-1,1688526256.784
4106.0,-1,-1,-1,-1,-1,1688526256.784
4108.0,-1,-1,-1,-1,-1,1688526257.785
4108.0,-1,-1,-1,-1,-1,1688526257.785
4118.0,-1,-1,-1,-1,-1,1688526258.786
4118.0,-1,-1,-1,-1,-1,1688526258.786
4119.0,-1,-1,-1,-1,-1,1688526259.788
4119.0,-1,-1,-1,-1,-1,1688526259.788
4136.0,-1,-1,-1,-1,-1,1688526260.789
4136.0,-1,-1,-1,-1,-1,1688526260.789
4426.0,-1,-1,-1,-1,-1,1688526261.792
4426.0,-1,-1,-1,-1,-1,1688526261.792
4442.0,-1,-1,-1,-1,-1,1688526262.795
4442.0,-1,-1,-1,-1,-1,1688526262.795
4442.0,-1,-1,-1,-1,-1,1688526263.797
4442.0,-1,-1,-1,-1,-1,1688526263.797
4182.0,-1,-1,-1,-1,-1,1688526264.799
4182.0,-1,-1,-1,-1,-1,1688526264.799
4458.0,-1,-1,-1,-1,-1,1688526265.801
4458.0,-1,-1,-1,-1,-1,1688526265.801
4148.0,-1,-1,-1,-1,-1,1688526266.803
4148.0,-1,-1,-1,-1,-1,1688526266.803
4193.0,-1,-1,-1,-1,-1,1688526267.804
4193.0,-1,-1,-1,-1,-1,1688526267.804
4194.0,-1,-1,-1,-1,-1,1688526268.806
4194.0,-1,-1,-1,-1,-1,1688526268.806
4191.0,-1,-1,-1,-1,-1,1688526269.808
4191.0,-1,-1,-1,-1,-1,1688526269.808
4249.0,-1,-1,-1,-1,-1,1688526270.811
4249.0,-1,-1,-1,-1,-1,1688526270.811
4209.0,-1,-1,-1,-1,-1,1688526271.812
4209.0,-1,-1,-1,-1,-1,1688526271.812
4207.0,-1,-1,-1,-1,-1,1688526272.813
4207.0,-1,-1,-1,-1,-1,1688526272.813
4399.0,-1,-1,-1,-1,-1,1688526273.816
4399.0,-1,-1,-1,-1,-1,1688526273.816
4467.0,-1,-1,-1,-1,-1,1688526274.817
4467.0,-1,-1,-1,-1,-1,1688526274.817
4162.0,-1,-1,-1,-1,-1,1688526275.818
4162.0,-1,-1,-1,-1,-1,1688526275.818
4219.0,-1,-1,-1,-1,-1,1688526276.819
4219.0,-1,-1,-1,-1,-1,1688526276.819
4219.0,-1,-1,-1,-1,-1,1688526277.821
4219.0,-1,-1,-1,-1,-1,1688526277.821
4186.0,-1,-1,-1,-1,-1,1688526278.823
4186.0,-1,-1,-1,-1,-1,1688526278.823
4184.0,-1,-1,-1,-1,-1,1688526279.824
4184.0,-1,-1,-1,-1,-1,1688526279.824
4099.0,-1,-1,-1,-1,-1,1688526280.826
4099.0,-1,-1,-1,-1,-1,1688526280.826
4100.0,-1,-1,-1,-1,-1,1688526281.827
4100.0,-1,-1,-1,-1,-1,1688526281.827
4369.0,-1,-1,-1,-1,-1,1688526282.828
4369.0,-1,-1,-1,-1,-1,1688526282.828
4599.0,-1,-1,-1,-1,-1,1688526283.83
4599.0,-1,-1,-1,-1,-1,1688526283.83
4494.0,-1,-1,-1,-1,-1,1688526284.833
4494.0,-1,-1,-1,-1,-1,1688526284.833
4494.0,-1,-1,-1,-1,-1,1688526285.835
4494.0,-1,-1,-1,-1,-1,1688526285.835
4176.0,-1,-1,-1,-1,-1,1688526286.836
4176.0,-1,-1,-1,-1,-1,1688526286.836
4239.0,-1,-1,-1,-1,-1,1688526287.837
4239.0,-1,-1,-1,-1,-1,1688526287.837
