energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2600,973,40,4.0000000000000036,0,58.95300732985531,1688343735.084
2600,973,40,4.0000000000000036,0,58.95300732985531,1688343735.084
2560,811,40,4.950495049504955,0,58.958033178484634,1688343736.087
2560,811,40,4.950495049504955,0,58.958033178484634,1688343736.087
2479,772,40,6.218905472636815,0,58.950937862772655,1688343737.091
2479,772,40,6.218905472636815,0,58.950937862772655,1688343737.091
3069,1529,40,7.178217821782173,0,58.958230270587755,1688343738.094
3069,1529,40,7.178217821782173,0,58.958230270587755,1688343738.094
3069,1529,40,7.178217821782173,0,58.958230270587755,1688343739.096
3069,1529,40,7.178217821782173,0,58.958230270587755,1688343739.096
2438,772,40,5.185185185185182,0,58.9673950533824,1688343740.1
2438,772,40,5.185185185185182,0,58.9673950533824,1688343740.1
2438,772,40,5.185185185185182,0,58.9673950533824,1688343741.103
2438,772,40,5.185185185185182,0,58.9673950533824,1688343741.103
2560,811,40,6.965174129353235,0,58.89860990939676,1688343742.107
2560,811,40,6.965174129353235,0,58.89860990939676,1688343742.107
2678,811,81,4.5000000000000036,0,58.893189876561216,1688343743.111
2678,811,81,4.5000000000000036,0,58.893189876561216,1688343743.111
2678,811,81,4.5000000000000036,0,58.893189876561216,1688343744.114
2678,811,81,4.5000000000000036,0,58.893189876561216,1688343744.114
3467,1207,80,36.117936117936125,0,56.74360485398432,1688343745.117
3467,1207,80,36.117936117936125,0,56.74360485398432,1688343745.117
3467,1207,80,36.117936117936125,0,56.74360485398432,1688343746.121
3467,1207,80,36.117936117936125,0,56.74360485398432,1688343746.121
3271,1130,40,27.55102040816326,0,54.793575585807005,1688343747.125
3271,1130,40,27.55102040816326,0,54.793575585807005,1688343747.125
3149,1049,40,29.7979797979798,0,52.375846756947986,1688343748.128
3149,1049,40,29.7979797979798,0,52.375846756947986,1688343748.128
3149,1049,40,29.7979797979798,0,52.375846756947986,1688343749.132
3149,1049,40,29.7979797979798,0,52.375846756947986,1688343749.132
3271,1169,40,29.925187032418954,0,49.84410014643944,1688343750.136
3271,1169,40,29.925187032418954,0,49.84410014643944,1688343750.136
3149,1009,40,29.57393483709273,0,46.97138419754936,1688343751.14
3149,1009,40,29.57393483709273,0,46.97138419754936,1688343751.14
3149,1009,40,29.57393483709273,0,46.97138419754936,1688343752.144
3149,1009,40,29.57393483709273,0,46.97138419754936,1688343752.144
3582,1529,40,27.249999999999996,0,46.21612725842913,1688343753.147
3582,1529,40,27.249999999999996,0,46.21612725842913,1688343753.147
3306,1451,40,27.63819095477387,0,45.49319342421907,1688343754.151
3306,1451,40,27.63819095477387,0,45.49319342421907,1688343754.151
3306,1451,40,27.63819095477387,0,45.49319342421907,1688343755.155
3306,1451,40,27.63819095477387,0,45.49319342421907,1688343755.155
3271,1128,40,26.368159203980102,0,43.28083456680141,1688343756.159
3271,1128,40,26.368159203980102,0,43.28083456680141,1688343756.159
3346,1491,40,27.749999999999996,0,43.98327082228796,1688343757.163
3346,1491,40,27.749999999999996,0,43.98327082228796,1688343757.163
3346,1491,40,27.749999999999996,0,43.98327082228796,1688343758.167
3346,1491,40,27.749999999999996,0,43.98327082228796,1688343758.167
3467,1489,80,26.61691542288557,0,43.821261113530966,1688343759.171
3467,1489,80,26.61691542288557,0,43.821261113530966,1688343759.171
3467,1489,80,26.61691542288557,0,43.821261113530966,1688343760.174
3467,1489,80,26.61691542288557,0,43.821261113530966,1688343760.174
2678,892,81,4.477611940298509,0,43.817319271468754,1688343761.178
2678,892,81,4.477611940298509,0,43.817319271468754,1688343761.178
2596,892,40,6.913580246913575,0,43.82283785035585,1688343762.182
2596,892,40,6.913580246913575,0,43.82283785035585,1688343762.182
2596,892,40,6.913580246913575,0,43.82283785035585,1688343763.186
2596,892,40,6.913580246913575,0,43.82283785035585,1688343763.186
2600,811,81,6.435643564356431,65.5,43.820177106963854,1688343764.19
2600,811,81,6.435643564356431,65.5,43.820177106963854,1688343764.19
2637,811,81,6.549118387909325,0,43.81869891619053,1688343765.194
2637,811,81,6.549118387909325,0,43.81869891619053,1688343765.194
2637,811,81,6.549118387909325,0,43.81869891619053,1688343766.198
2637,811,81,6.549118387909325,0,43.81869891619053,1688343766.198
2560,812,40,5.44554455445545,0,43.810322501808315,1688343767.203
2560,812,40,5.44554455445545,0,43.810322501808315,1688343767.203
2560,812,40,5.44554455445545,0,43.810322501808315,1688343768.207
2560,812,40,5.44554455445545,0,43.810322501808315,1688343768.207
2759,931,81,5.2369077306733125,66.8,43.815249804386085,1688343769.211
2759,931,81,5.2369077306733125,66.8,43.815249804386085,1688343769.211
2596,892,81,5.012531328320802,33.1,43.81869891619053,1688343770.215
2596,892,81,5.012531328320802,33.1,43.81869891619053,1688343770.215
2596,892,81,5.012531328320802,33.1,43.81869891619053,1688343771.218
2596,892,81,5.012531328320802,33.1,43.81869891619053,1688343771.218
2560,852,40,5.210918114143926,0,43.82628696216029,1688343772.222
2560,852,40,5.210918114143926,0,43.82628696216029,1688343772.222
2637,852,81,5.000000000000004,65.8,43.81850182408741,1688343773.226
2637,852,81,5.000000000000004,65.8,43.81850182408741,1688343773.226
2637,852,81,5.000000000000004,65.8,43.81850182408741,1688343774.23
2637,852,81,5.000000000000004,65.8,43.81850182408741,1688343774.23
2637,892,81,45.386533665835415,59.7,43.22614150818819,1688343775.234
2637,892,81,45.386533665835415,59.7,43.22614150818819,1688343775.234
2637,892,81,45.386533665835415,59.7,43.22614150818819,1688343776.238
2637,892,81,45.386533665835415,59.7,43.22614150818819,1688343776.238
3311,1370,40,27.363184079601986,0,41.84570841800082,1688343777.242
