energon_total_in_power_mW,energon_cpu_in_power_mW,energon_gpu_in_power_mW,energon_cpu_total_usage_percentage,energon_gpu_total_usage_percentage,energon_ram_used_percentage,timestamp
2270,-1,-1,-1,-1,-1,1688341146.948
2270,-1,-1,-1,-1,-1,1688341146.948
2017,-1,-1,-1,-1,-1,1688341147.951
2017,-1,-1,-1,-1,-1,1688341147.951
2017.9999999999998,-1,-1,-1,-1,-1,1688341148.955
2017.9999999999998,-1,-1,-1,-1,-1,1688341148.955
2017.9999999999998,-1,-1,-1,-1,-1,1688341149.958
2017.9999999999998,-1,-1,-1,-1,-1,1688341149.958
2045,-1,-1,-1,-1,-1,1688341150.962
2045,-1,-1,-1,-1,-1,1688341150.962
2023.0000000000002,-1,-1,-1,-1,-1,1688341151.966
2023.0000000000002,-1,-1,-1,-1,-1,1688341151.966
2024,-1,-1,-1,-1,-1,1688341152.969
2024,-1,-1,-1,-1,-1,1688341152.969
2024,-1,-1,-1,-1,-1,1688341153.972
2024,-1,-1,-1,-1,-1,1688341153.972
2415,-1,-1,-1,-1,-1,1688341154.976
2415,-1,-1,-1,-1,-1,1688341154.976
2422,-1,-1,-1,-1,-1,1688341155.979
2422,-1,-1,-1,-1,-1,1688341155.979
2596,-1,-1,-1,-1,-1,1688341156.983
2596,-1,-1,-1,-1,-1,1688341156.983
2599,-1,-1,-1,-1,-1,1688341157.986
2599,-1,-1,-1,-1,-1,1688341157.986
2600,-1,-1,-1,-1,-1,1688341158.99
2600,-1,-1,-1,-1,-1,1688341158.99
2678,-1,-1,-1,-1,-1,1688341159.993
2678,-1,-1,-1,-1,-1,1688341159.993
2351,-1,-1,-1,-1,-1,1688341160.996
2351,-1,-1,-1,-1,-1,1688341160.996
2350,-1,-1,-1,-1,-1,1688341161.998
2350,-1,-1,-1,-1,-1,1688341161.998
2350,-1,-1,-1,-1,-1,1688341163.002
2350,-1,-1,-1,-1,-1,1688341163.002
2349,-1,-1,-1,-1,-1,1688341164.005
2349,-1,-1,-1,-1,-1,1688341164.005
2028,-1,-1,-1,-1,-1,1688341165.009
2028,-1,-1,-1,-1,-1,1688341165.009
2045,-1,-1,-1,-1,-1,1688341166.012
2045,-1,-1,-1,-1,-1,1688341166.012
2045,-1,-1,-1,-1,-1,1688341167.015
2045,-1,-1,-1,-1,-1,1688341167.015
2288,-1,-1,-1,-1,-1,1688341168.018
2288,-1,-1,-1,-1,-1,1688341168.018
2283,-1,-1,-1,-1,-1,1688341169.021
2283,-1,-1,-1,-1,-1,1688341169.021
2017.9999999999998,-1,-1,-1,-1,-1,1688341170.024
2017.9999999999998,-1,-1,-1,-1,-1,1688341170.024
2039.0000000000002,-1,-1,-1,-1,-1,1688341171.028
2039.0000000000002,-1,-1,-1,-1,-1,1688341171.028
2039.0000000000002,-1,-1,-1,-1,-1,1688341172.03
2039.0000000000002,-1,-1,-1,-1,-1,1688341172.03
2027.0000000000002,-1,-1,-1,-1,-1,1688341173.033
2027.0000000000002,-1,-1,-1,-1,-1,1688341173.033
2036,-1,-1,-1,-1,-1,1688341174.037
2036,-1,-1,-1,-1,-1,1688341174.037
2033,-1,-1,-1,-1,-1,1688341175.04
2033,-1,-1,-1,-1,-1,1688341175.04
2033,-1,-1,-1,-1,-1,1688341176.043
2033,-1,-1,-1,-1,-1,1688341176.043
2049,-1,-1,-1,-1,-1,1688341177.047
2049,-1,-1,-1,-1,-1,1688341177.047
2514,-1,-1,-1,-1,-1,1688341178.05
2514,-1,-1,-1,-1,-1,1688341178.05
2288,-1,-1,-1,-1,-1,1688341179.053
2288,-1,-1,-1,-1,-1,1688341179.053
2033,-1,-1,-1,-1,-1,1688341180.056
2033,-1,-1,-1,-1,-1,1688341180.056
2033.9999999999998,-1,-1,-1,-1,-1,1688341181.06
2033.9999999999998,-1,-1,-1,-1,-1,1688341181.06
2045.9999999999998,-1,-1,-1,-1,-1,1688341182.063
2045.9999999999998,-1,-1,-1,-1,-1,1688341182.063
2037.9999999999998,-1,-1,-1,-1,-1,1688341183.066
2037.9999999999998,-1,-1,-1,-1,-1,1688341183.066
2057,-1,-1,-1,-1,-1,1688341184.069
2057,-1,-1,-1,-1,-1,1688341184.069
2053,-1,-1,-1,-1,-1,1688341185.072
2053,-1,-1,-1,-1,-1,1688341185.072
2884,-1,-1,-1,-1,-1,1688341186.076
2884,-1,-1,-1,-1,-1,1688341186.076
2952,-1,-1,-1,-1,-1,1688341187.079
2952,-1,-1,-1,-1,-1,1688341187.079
3006,-1,-1,-1,-1,-1,1688341188.083
3006,-1,-1,-1,-1,-1,1688341188.083
3004,-1,-1,-1,-1,-1,1688341189.086
3004,-1,-1,-1,-1,-1,1688341189.086
3212,-1,-1,-1,-1,-1,1688341190.089
3212,-1,-1,-1,-1,-1,1688341190.089
2970,-1,-1,-1,-1,-1,1688341191.092
2970,-1,-1,-1,-1,-1,1688341191.092
3845,-1,-1,-1,-1,-1,1688341192.096
3845,-1,-1,-1,-1,-1,1688341192.096
4178,-1,-1,-1,-1,-1,1688341193.1
4178,-1,-1,-1,-1,-1,1688341193.1
4177,-1,-1,-1,-1,-1,1688341194.103
4177,-1,-1,-1,-1,-1,1688341194.103
4167,-1,-1,-1,-1,-1,1688341195.106
4167,-1,-1,-1,-1,-1,1688341195.106
4296,-1,-1,-1,-1,-1,1688341196.109
4296,-1,-1,-1,-1,-1,1688341196.109
4316,-1,-1,-1,-1,-1,1688341197.112
4316,-1,-1,-1,-1,-1,1688341197.112
4318,-1,-1,-1,-1,-1,1688341198.116
4318,-1,-1,-1,-1,-1,1688341198.116
4198,-1,-1,-1,-1,-1,1688341199.119
4198,-1,-1,-1,-1,-1,1688341199.119
4654,-1,-1,-1,-1,-1,1688341200.123
4654,-1,-1,-1,-1,-1,1688341200.123
4318,-1,-1,-1,-1,-1,1688341201.127
4318,-1,-1,-1,-1,-1,1688341201.127
4259,-1,-1,-1,-1,-1,1688341202.13
4259,-1,-1,-1,-1,-1,1688341202.13
